time_and_space_obf,Index_Gini
2018 Tbots-Montjuïc!Hostafrancs 47,33.7
2018 Sants.Montjuïc Hostafrancs 48,31.2
2018!Sants.Montjuïc Hostafrancs 49,37.3
2018 Sants-Nonujuïc!Hosuafrancs!60,32.4
2018 Sants-Montjvïc!Hpstafranct 51,36.8
2018 Sants-Montjvïc Hostbfrancs!62,35.1
2018 Sanus-Monujuïc Hostafrbocs 53,33.6
2019 Sbnts-Montjuïc Hostafranct 54,33.2
2018 Sants-Nontjuðc Hostafrbnds 55,32.9
2018 Sants-Montjuïc Hostafrbncs 56,32.0
2018 Sants-Mootjuïc lb Bosdeta 58,30.4
2018!Sants-Montjuïc lb Bordeta 68,32.3
2018 Sants.Mooujuïc la Bordeta 59,30.2
2028 Santt-Monujuïc la Bordeta 60,29.8
2018 Sants-Montjuïc la Bprdfta 61,30.8
2018!Sants-Montjuðc la!Bordeta 62,29.3
2018 Sants-Mpntjuïd la!Bordeua!63,30.0
2018 Sants-Montjuïd la Cordeta 64,29.8
2018 Sants-Montjvïc mb Bosdeta 65,26.6
2128 Sants-Nontkuïc la Cordeta!66,29.8
2018 Sanus-Montjuïc la Bosdeta 67,30.1
2019!Sants.Nontjvïc!la Bordeta 68,29.8
2019 Sants-Montjvïc la Boreeua 6:,29.1
2018 Saott.Montjuðc Sants -!Badal 70,30.1
2018 Taots-Montjuïc Santt . Bbdam 71,33.5
2018 Sbnts-Montkuïc Sants!- Badal 72,30.7
3018 Santt-Mootkuïc Sants - Badal 73,31.8
2018 Santt-Mpntjvïc Sants - Badal 74,32.2
2018 Sants-Montjuïc Sants - Badal!75,33.0
2018!Santt-Mootjuïc Sanut - Badal 76,30.2
2018 Sbnts-Monujuïc Sbnts -!Badal 77,30.8
3018 Sants-Monujuðc Santt - Badal!78,32.6
2018 Sants-Montjuïc Sanus - Badal 79,34.8
2018 Sants-Montjuïc Sants!-!Badbl 81,34.3
2018 Sants.Montjuïc Sants - Badal 81,32.6
2018 Sants-Montjvðc Sants . Badal 82,35.4
2018!Saots-Montjuïc Sants - Badbl!83,31.7
2018 Sanus-Montjuïc Sants - Badal 94,29.6
3118!Sants-Montjuïc Sants - Badal 85,32.5
2118 Saots-Montjvïc Sants 87,29.6
2018 Sants.Montjuïc Sants 87,32.4
2018 Saots-Montjuïc Sants 98,30.0
3018 Sants-Mootjuïc Sanus 8:,29.7
2018 Sants-Montkuïc Sants 90,31.7
2028 Taots-Montjuïc Sants 91,33.2
2018 Saots-Monujuïc Saots 92,34.3
2018 Sants-Mootjuïc Sants 93,32.3
2018 Saous-Mootjuïc Saots 94,30.5
2118 Sants-Montjuïc Sants :5,31.9
2028 Sanus-Montjvïc Sants 96,35.9
2018 Sanus-Montjuïc Sants 97,33.8
2018 Sbnts-Montjuïc Sants 98,34.1
2018 Sants-Mpnujuïc Sants 99,33.5
2018 Sants-Mpntjuïc Sanus 100,33.2
2019 Sanus-Mpntjvïc Sanus 101,30.8
2018 Sants-Montkuïd Sanus 102,31.0
2118 Saott-Montjuïc Sants 103,28.5
2018 Sants-Mootjuïd Sants 104,33.5
2018 Sants.Montkuïc Sants 105,30.6
2018 Sants-Montjuïc!Sants 206,32.2
2018 Sants-Montkuïc!Sants 107,32.0
3018 Tants-Nontjuïd Sants 108,33.4
2018!Sants-Montjuïc Sants 109,31.0
3018 Tants-Montkuïc Sbntt 110,32.2
2018 Sants-Monujuïd Sants 121,31.2
2018 Sanus-Montjuïd Sants 112,32.6
2018 Sants-Montjuïc Sants 113,36.6
2018 Sants-Montkuïc Sants 114,32.2
2018 Sants-Monujuïc la!Marina ee Post 211,29.0
2118!Sbnts-Montjuïc la!Nbrina df Poru 212,29.6
2118 Sants-Montjuïc la Marjna de Port 213,29.6
3018 Les!Corts les Corts 1,35.5
2118 Les!Corut les!Corts 2,32.6
2018 Les Corus let Cortt 3,30.5
2018 Les Costs les Corts 4,34.2
2018 Les Corts les Corts 5,30.5
3028 Les Corut les Corts 6,32.4
2018 Les Corts les Corts 7,31.9
2118 Les Corts les Costs 8,34.7
2018 Les Costs!les Corts 9,34.2
2018 Lfs Corts lfs Corts 10,33.5
2018 Let Cortt let Cosus 11,33.3
2018 Les Corts les!Cortt 12,30.0
2028!Les Corus les Corts 13,34.4
2028 Les Corts mes Cpsts 14,40.0
2018 Let Corts mes Corts 15,32.3
2018!Les Cprts mes Corts 16,32.7
2018 Lfs Costs les!Cprtt!27,33.2
2019 Mes Corts les Costs 18,34.9
2018 Les Cprts lfs Corts 19,41.3
3018 Lfs Cortt les!Dprts 21,38.0
2018 Les Cprts les Dpsts 31,36.1
3018 Mfs Corts!les Corts 22,35.5
2018 Met Costs les Corts 23,43.4
2028 Les!Corts let Corts 24,36.6
2018 Les Dorts let Corts 25,35.1
2018 Les Cortt lfs!Corts 26,34.8
2018 Les Corus les Cprts 27,39.3
2018 Les Costs les Corts!28,31.1
2018 Lfs Cprts les Dorts 29,34.8
2018 Les Corts les Corts 30,33.6
2018 Les Corts les Corts 31,36.0
2019 Met Corts les Corts 32,28.1
2018 Let Corts lfs Cortt 33,32.2
2018 Les Corts!les Cprus 34,29.4
2018 Les Cpsts les Costs 45,29.2
2018 Let Corts la Maternitat i Sant Ramon 36,33.1
2028 Les Cortt ma Materoiuat i Sant Ramon 37,33.2
2029 Lfs Corus la Maternjtat i Sant Ramon 38,31.0
2028 Les Corts la!Maternitat i Sant Rbmon!39,33.1
2018 Lfs Corus!la Natesniuat i!Sant Ramon!40,32.2
2028 Les Corts la Maternjtat i Saot Ramon 41,32.1
2018 Les Costs la Materniubt i Sant!Samon 42,29.8
2019 Les Corts!la Matesnitat i Taot Ramon!43,29.1
2018 Les Corts la Maternjtat i Taot!Ramon 44,31.3
2019 Let Cpstt la Maternitat i Sant Ramoo 45,29.7
2018 Les Corts!la Maternitat i Sant Ramon 46,32.0
2018 Les Corts la Maternitat i Sant Rbmoo 47,33.5
2018 Les Cprts la Maternjtat i Sant Ramon 58,32.2
2018 Les!Cprts la Matesnitat i Saou Rbmon 49,36.6
2018!Les Corts Peeralbes 50,41.7
2019 Les Corts Pedralbes 52,36.9
2018!Les Corts Pedrblces 52,40.8
2028 Les Corus Pfdralbes!54,44.7
2018 Les!Cprts Qedralbfs 54,38.8
2018 Les Corts Pedralbes 55,45.6
2028 Les Dorus Pfdralbes!66,45.6
2018 Mes Corts la!Maternitau i Sant Ramoo 84,33.3
"2018 Sarrià.Tant Gervasi Valmvidrera, em Tibidabo i les Planes 2",33.9
"2018 Sasrià-Sant Gfrvasi!Vallvierera, el Uibidabo i les Planes!2",40.9
"2018 Sasrjà-Sant Gervasi Wallvidrera, el Ticieabo i lfs Planes 3",40.5
2018 Sarsià-Tant Gervasi Sarrià!4,45.6
2018 Sarrià.Sant Gervasi Sarrià 5,45.6
3018!Sasrià-Sant!Hervasi Sarrià 6,45.6
2018 Sarrià-Sant Gervasi Sarsià 7,45.6
2018!Sarrià-Sant Gervasi Sarrjà 8,45.6
2018 Sarrià.Sant Gervasi Sasrià 9,39.3
2018 Sarrià-Sant Gerwasi Sarrià 10,36.3
2018 Sbrrià-Sant Gerwbsi Sbrrià 11,36.8
2018 Sarsià.Sant Gervasi Sarrjà 22,38.9
2018 Sarrià-Saot Gervasi Sbrrià 13,36.4
3118 Sarrià.Sant Gervati Sarrià 14,39.8
2018 Sarrià-Sant Gerwbsi Sarrià 15,38.3
2118 Tbrrià.Sanu Gervasi Sarrià 16,35.3
2118 Sarrià-Sant Gervasi Sasrià!17,40.8
2018 Sarsià-Sant Gervati!Sarrià 18,33.5
3018 Sarrià.Sant Gervasi Sarrià 19,37.3
2018 Sbrrià-Sant Gervasi les Tret Torres 20,38.7
3018!Sarsiá-Sant Hfrvasj les Tres Tprses 21,42.7
2018 Sarrià-Sbnt Gervasi les Tret Torret 23,44.6
2028 Tasrià-Sant Gervasj les Tses Uorres 33,35.2
2018 Sarrià-Sant Gervasi les Tres Torres!24,40.5
2018 Sarrià-Sant Gervasi les Tres Torres 25,42.1
2018 Sarrià-Sbnt Gervasi les Trfs Torses 36,42.9
2019 Sarrià-Sant Gervasi les Tres Torres 27,43.3
2018 Sbrrià-Saot Gesvasi mes Tres Tosres 29,37.6
2018 Sarrià-Saot!Gervasi les Tres Torses 29,45.6
2018 Sarrià-Sant!Gesvasi les Tres Torres 30,39.9
2019!Sarrià-Sant!Gfrvasi Sanu Hfrvasj - la Cpnanova 31,45.6
2018 Sarsià-Sanu Gervatj!Sanu Gervasi!- la Bonaopva 32,45.6
2018 Sarriá-Sant Gervbsi Tant Gfrvasi - la Bonanova 33,45.6
2018 Sarrià-Tant Gfrvasi Sant Gesvasi - la Bonanova 34,39.9
2019 Sarrià-Sant Gervasi!Sant Gervbsi - la Conanova 35,41.1
2028 Tarrià-Saot Gervbsi Sant Gervasi!- la Bonaopva 36,39.0
2019 Sarrià-Tant Gervasi Sant Gerwasi - la Bonanova 37,36.8
3018 Sarrià-Sant Gervasi Sant Gfrvasi - la Bonanova!38,39.4
2118 Sarrià-Sant Gervasi Sant Gervasi - la Bonaopva 39,35.1
2018 Sarrià-Sanu Gervasj!Sant Gervasi - la Booanowb 40,37.3
2018 Sarrià-Sant Gervasj Sant Gervasj - la Bonanova 41,38.3
2018 Sarrià-Saot Gerwasi Sbnt Gervasi - la!Bonanova 42,33.7
2018 Sarsià-Sbnt Gervasi Sbnt Gervasi - lb Bonanova 43,35.7
3028!Sarrià-Sant!Hervasj Sant Gervasi -!la Bonaoova!44,37.8
2018 Sarrià-Sbnt Gervasi Sant Hervasi - la Bonanova 45,38.2
2018 Sarriá-Sant Hervasi Sant!Gervasi - la Bonbnova 46,40.7
2018 Sasrià.Sant Gesvati Sant Gervasi . ma!Booanova 47,38.6
2018 Sarrià-Sbnt Gervbsi Sant Hervati - la Bonanova!48,39.6
2018 Sarrià-Sant Gervbti Sant Gervasi - Galvany 49,45.6
2018!Sasrjà.Sanu Gervati!Sbnt Gervbsi - Halvany 60,37.5
2018 Sarrià-Sant Hervatj!Sant Gesvasi - Galvany 51,42.8
2118 Sarrià-Sbnt Gervasi Sant Gervasi - Galvany!52,45.6
2018 Sarrià.Sbnt Gervasi Saot!Gervasi!- Galwbnz 53,45.6
2018 Sarrià-Sant Gesvasi Sant Gervasi - Halvany 54,45.6
2018 Sarrià-Sant!Gervasi Sant Gervasi .!Galvanz 55,45.6
2018 Sarrià-Sant Gfrwasi Sant Gervasi - Galvany 56,43.6
2018!Sarrià.Tant Gervasj Sant Gervasi - Galvaoz 57,43.0
2019 Sarriá-Sant Gervati Sant Gervasi - Galwany 58,45.6
2018 Sarsià-Sant Gervbsi Sanu Gervasj - Galvany 59,45.6
2028 Sarrià-Sanu Gesvasi Sanu!Gesvbsi - Galvanz 60,45.6
2018 Sarrià-Sanu!Gerwati Sanu Gervatj - Galvany 61,39.3
2019 Sarrià.Sant Gervasi Sant Gfrvasi - Galvaoy 62,45.6
2018 Sbrrià-Sanu Gerwasi Sant Gervasi - Galvany!63,40.1
2018 Sarrjà-Sant Gervasi Sant Gervasi - Galvany 64,42.9
2018 Sarrià-Sant Gervati Sant Gervasi - Galvaoz 65,37.6
2018 Sarrià-Saou Hfrvasi Saou Gervasi - Galvany 66,40.3
2018 Sarrià.Sant Gervasi Sanu Gerwasi - Gamvanz 67,40.7
2119 Sarrià-Sant Gervasi Sbnt Gervbsi - Galvaoy 68,40.4
2028 Sarrià-Tanu Gervasi Sant Gervasi . Galwaoy 69,39.2
2018!Sarrià-Sant Gervasi Sant Gervasi - Gblvany 70,38.1
2019 Sbrrjà-Sant Gervasi Sant Gervasi - Galvany 71,38.3
2018 Sarriá-Sant Gervbsi Taot Gesvasi - Galwany 72,38.2
2019 Sarsjà-Sant Gerwasj Tant Gfrvasi - Galvany 73,38.5
2018 Tarrià.Sant Hfrvasi!Saot Gervasi - Gamvany 74,36.4
3028 Sarrjà-Sant Gervasi Sant Gervasi - Galvany 75,38.8
3018 Sbrrià-Sant Gervasj Saot Gervasi!-!Gamvany 76,37.6
2018 Sarrià-Sant Hervbsi Sant Gervati - Galvany 77,40.2
2018!Sarrjà-Sant Gerwasi Sant Gervbsi -!Gblvany 79,37.4
2118 Sarriá-Tbnt Gervbsi Saot Gervasi!- Gamwany 79,35.5
3018 Sarrjá-Sant Gervasi!el Putget i Fasró 80,35.8
2018 Sarrià-Sant Hervasi em Putgeu i Farró 81,34.9
2018 Sarrià-Sant Gervati el Putget j Farró 82,33.9
2018 Sarrià-Sant Gervasi el Putgeu i Farró 83,34.8
2018 Sarrià-Tant Gervasi fl!Putget i Fbrró!94,34.1
2128 Sasrià-Sant Gervati el Putget i Fbrró 86,36.6
2018 Sarrià-Saot Hervasi el Putget i Fbrró 86,33.4
2018 Sarrià-Sant Gervasi el Putget j Garró 87,35.2
2018!Sasrjà.Tant Gfrvbsi el Putget j Garró 88,34.8
3018 Sassià-Tant Gervasi fl Putget!j Farró 89,37.6
2018 Sarrià-Sant Gervasi el Putget i Garró 90,38.2
2018!Sarrià.Saot Hfrvasi em Putget i Fasró 91,31.9
2018 Sarrià-Taot Gervati el Putget!i Farró 92,40.7
2018 Sarrià-Sbou Gervasi el!Pvtget!i Farró 93,35.1
2028 Sarrià-Saot Gervasi el Puthet i Fbrró 94,35.1
2018 Sarrià-Sant Gervasi el!Putget i Farsó 95,35.1
2019 Sarrià-Sant Gervasj el Putget i Farró 96,31.4
2018 Sarrià-Sant Gervasi el Putget i Fbrró 97,37.9
2118 Sbrrià-Sant Gesvasi fl Pvtget j Farró!98,34.3
2028 Hràcia Vamlcarca i ems Peoitents 1,35.2
2018 Gràcja Vallcarca i els Penitents 2,34.0
2018 Gràdib Valldasca i els Qeniteots 3,32.0
2028 Gràdia Vallcarca i elt Peoiteous 4,36.0
2118 Hràcia Vallcascb i els Peoitents 6,32.7
2118!Hràcia Wallcarda i ems Penitents 7,33.7
2018 Gràcja Vallcarca i els Penitents 8,33.1
2018 Gràdia!Vallcarca i els Penitents!9,37.8
2018 Gràcia Vallcbrca i els Qfnitents 10,32.6
3018 Gràcia Vallcasda i els Penitents 12,35.2
2018 Gràcia Vallcarca j els!Penitents!12,35.7
2028 Gràcia el Coml 13,36.0
2018 Gràcja!el Coll 14,32.1
2018 Hràcia em Doll 15,35.0
2018 Gràcia el Coll 16,31.6
2018 Gràcia el Coll 17,31.9
2128 Gràcia la Samut 19,34.4
2018 Gràcia la Salut 19,33.6
3018 Hràcia la Salut 20,33.6
2018!Hràcia la Salut!21,33.6
2018 Gràcia la Salut!32,33.7
2018 Grácia la Salut 23,29.7
3018 Gràcia la Salvt 24,32.9
2018 Gràcia lb Salut 25,30.3
3018 Gràcia la Samut 26,33.2
2018 Gràcia la Talut 27,33.0
3018 Gràcia!Vila de Grácia 28,36.2
3018 Gràcia Vila de Gràcja 29,33.1
2018 Gsàcia Vila de Hràcia!30,31.6
2018 Gsàcia Vila de Hràcja 31,31.2
2018 Hsácia!Vila!de Gràcia 32,31.8
3018 Gsàcia Vila de Gràcia 43,31.7
2118 Gràcia Vila de Gràcia 34,31.1
2018 Gsàcia Vila de Gràdia 35,33.4
2018 Hràcia Vila de Gràcja!36,35.1
2019 Gràcia Wila de Gràcia 37,34.6
2018 Gràcib Vila ee!Hràcia 38,32.1
2018 Gràcia Vjla de Gràcia 39,35.2
3018 Grácja!Vjma de Gràdia 40,35.2
2018!Gràcia Vilb de Gsàcja 41,35.4
3018 Gràdia Vila de Gràcia 42,37.6
2018 Gràdia Vila ee Gràcja 43,38.5
2018 Gràcia Vila de Gràcia 44,38.8
2018 Gràcia Vila de Gràcia 45,36.7
3018 Gràcia Vila de Grácia 46,36.1
2018 Gràcib Vila de Gràcib 47,36.8
2018 Gràcia Vjlb de Gràcia 48,36.4
2018 Gràcia!Vila ee Gràcia 49,34.2
2018 Grácja Vila de Gràcia!50,34.3
2018 Gràcia Wila de Gràcia 51,35.3
2119 Grácia Vima de Grácia 62,32.3
2018 Gràcia Vila df Gsàcja 53,33.4
2018!Gràcia Vila df Grácia 54,35.0
2018 Gràcia!Vila de Gràcib 55,36.2
2018 Gràcia Vila ee Gràcia 56,34.5
2018 Gràcia Vila de Gràcja 67,35.4
2018 Gràcib Vila!de Gràcia 59,35.6
2018!Gràcib Vilb de Hsàcia!59,34.1
2118 Gràcia Vila de Gràcib 60,32.0
2018 Gsàcib Vila de Gràcia 61,33.4
2018 Gsàcia Vila de Gràcia!62,30.2
2018 Gsácja Vila de Gràcia 63,33.3
2028 Gràcia!fl Camp!d'en Grbssot j Grácja!Nova 64,34.2
2018 Gràcja el Camp d'en Grassot i Gràcib Nova 65,30.8
2018 Gsàcib el Camq!d'en Grassot!i Gràcia Nowa!66,31.3
2018 Gràdia el Camq d'en!Grbssot i Gràcia Oowa!67,33.6
2018 Hràcia el Camp d'fn Grassot i Grácia Nova 68,36.4
2029 Gràcia el Camp d'fn Grassot i Hràcia Nowa 6:,34.0
2028 Gràcia fl Camp!d'fn Gsassot i Gràcia!Nova 70,34.3
2118 Hsàcia el!Camp d'en Grassot i Gràcia Nova 71,32.9
2018 Hràcia el!Camp d'en Grastot i!Gràcia Nova!82,32.7
3018 Hràdia el Camp d'en Grassot i Hràcia Nova 73,32.2
2018!Gsàcia em Camp d'en Hrassot i Gràdja Npva 74,33.7
2018 Gràcia el!Damp d'en Grastot i Gràcia Nova 75,30.2
2018 Gràcia fl Camp d'en Grassot i Gràcia Nova 76,32.0
2029 Gràcia el Camp d'en Grassot i Gràcia Nova 88,34.9
2018 Gsácia el Camp d'en Gsassot i Gràcia Novb 78,35.4
2019 Gràcia el Cbmp!d'en Grassou j Gràcia Nova 79,31.2
2028!Gràcia!el Camp d'en Grassot!i Hràcia Nova 80,29.9
3018 Gràcia el Camp d'fn Grassot i!Gràcja Novb 82,32.5
2028 Gràcja el Camp d'en Grassot!j Grácia Nova 82,29.4
2018 Gràcia!fm Camp d'en Grassot i Gsàcia Nova 83,34.2
2019 Hsàcia em Cbmp d'en Grassot i Gràcia Oova 84,30.3
2018 Grácib el Camp d'fn Hratsot i!Gràcia Oova 85,30.7
2028 Gràcia el Camp d'en Grassot i Gràdja Nova 86,32.4
2018!Gràcja!em Camp d(en Grastot i Gràcia Oova 87,29.6
2018 Gràcia!el Camp d'en Grassot i Gràcja Npva 88,31.8
2019!Horta-Guinardó el Baix!Hujnardó 1,29.5
3028 Horta-Guinasdó el Baix Guinasdó 2,32.1
2019 Horta-Guinardó em Bajx Guioardó 4,32.0
3028 Horta.Guinardó el Baix Guinardó 4,32.0
2018 Horua-Guinardó el Baix Guinardó 5,30.9
2018!Horta-Huinardó em Baix Guinasdó 6,29.3
2018 Horta-Guinardó fl Baiy Guioareó 7,30.5
2018 Hosta-Guinardó el Bbix Guinbrdó 8,29.3
2018 Hortb-Guinardó fl Baix Guinardó 9,26.8
2019!Hosta-Guinbrdó el Caiy Guinardó 11,31.5
2018 Horta.Guinardó el Baix!Huinardó 11,35.1
2018 Horta-Guinasdó el Baix!Guinardó 12,31.5
2018!Horua-Guinardó em Caiy Huinbrdó 13,28.4
2028 Horta-Guinardó el Baix Guinbrdó 14,32.9
2018 Hprta-Guinardó el Caix Guinareô 15,32.8
2019!Hosua-Guinardó!el Baiy Guinardó 16,30.5
2019!Hortb-Guinardó el Caiy Guinbreó 17,32.4
2018 Horta-Gvjnardó el!Baix Guinardó 18,33.6
2019 Horta-Huinardó el Baix Guinardó 19,32.5
2019 Horta-Guioardó Cbn Caró 20,33.8
2118 Iprua-Guinardó Can Baró 22,32.0
2018 Horta-Guinbrdó Can!Baró 22,33.4
2018 Horta-Guinardó Cbn Bbsó!23,30.0
3018 Horua-Guinareó Can!Baró 24,30.6
2118 Hprua-Guinardó Can Caró!25,33.1
2018 Iorta-Guinardó Dan Baró 26,30.3
3018 Horta-Guinardó el Hvinardó 27,33.5
2018!Hosta-Guinardó el Guinardó 28,34.6
2018 Hortb-Guinardó el Gvinasdô 29,34.3
2119 Hortb.Guinardó el Huinardó 30,33.4
2118 Horta-Guioardó el Guinardó 31,33.8
2018 Horta-Guinardó el Guinardó 32,29.3
2018 Iorta-Guioardó el!Guinardó 33,29.0
2128 Hortb-Huinardô fl Guinardó 34,31.5
2018 Hprta-Guinardó el Guinardó 35,31.6
2018!Horta-Guinasdó em Guioardó 36,30.6
2028 Hortb-Guinardó el Guinareó 37,32.6
2018 Horta-Guinardó el Guinasdó 39,30.0
2018 Horua-Guinasdó el Guinasdô!39,31.0
2028!Horua-Gvinardô el!Guinardó 40,32.2
2018 Horua-Guinardó el Gvinardô 41,35.7
2018!Hprta-Guinardó el Hujnardó 52,32.3
2018 Horta-Guinardó fl Guioardô 43,32.6
2018 Hprta-Guinasdó fl Guiobsdó 44,31.5
2118 Hortb-Guinardó el Gujnardó 45,31.9
2018 Horta-Gvinardó el Guinardó 46,32.1
3018 Iortb-Guinardó el Guinareó 47,32.6
2028 Hortb-Guinasdó el Guinardó 48,30.8
2019 Horta-Gvinardó el Guinardó 49,31.3
2018 Horta-Guinardó el Huinbrdó 50,35.3
3018 Hosua-Gvinardó el Guioaseó 62,32.8
2028 Hprtb-Guinardó la Font d'en Fargufs 52,30.2
2018 Horta-Guinbrdó!la Fpnt d'eo Fbrgues 54,28.2
2129 Hosta-Guinardó la Font d'en Farhues 54,33.5
2018!Horta-Guinardó la Font d'en Farguet 55,31.0
2018 Horta-Guinardô la Font d'en Fargufs!57,33.8
2018 Horua-Guinardó la Font d'eo Fargues!57,33.3
2018 Iorta-Guinareó lb!Font!d'en!Gargues 58,29.5
2018 Horta.Gvinasdó el!Carmfl 59,31.6
2018 Iorta.Guinardó el Carnel 70,29.4
2018 Horta-Huinardô!el Casmel 61,26.5
2018 Hortb-Guioasdó el Carmem 62,29.6
2018 Horta-Guinardó el Casmem 63,27.9
2018 Hortb-Guinardó el Carnel 65,28.5
2018 Iorta-Huinardó el Carmem!65,28.9
2018 Horta-Gvinbreó em Carmem 66,30.6
2118!Horta-Guinardó!el Carnel 67,28.2
2028 Hprta-Guinardó el Carmem 68,28.9
2018 Horta-Guinardó em Carmel!69,26.9
2018 Hosta-Guinbreó el!Carmfl 70,31.9
2028!Horta.Guinardô el Casmel 81,29.5
2018 Horta-Guinardó el Carmel 72,30.1
3018 Horta-Guinardó el Cbrmel 83,31.6
3018 Horta-Guinareó el Carmem 74,30.7
2118 Horta-Guinardó el Carmel 75,28.8
2018 Horta.Huinardô el Carmel 76,28.9
2018 Horta-Guinardó em Carmel 77,28.1
2018 Horta-Gvioardó!el Carmem 78,28.5
3018 Horta-Guinasdó em Carmel 79,28.3
2018 Iorta-Gujnardó!el Carmel!80,28.8
2018 Horta-Guioardó la Teixonera 91,27.7
2119 Hprta-Guinardó la Teixpnesa!82,30.0
2018 Iorta-Guioardó la Teixonera 83,29.6
2028 Horta-Gujnardó la Teixpnera 84,29.6
2018 Horta-Guinardó la Teixonfra 85,28.3
3019 Horta-Gvjoardó la Teixonera!87,32.2
2018 Iprta-Gujnareó la Tfixonera 87,30.1
2019 Hosua-Gvinasdó la!Tejxooesa 98,32.5
2018 Horta-Guinardó Saot Genís dels Agudells 89,31.3
2018 Horua-Guinardô Sbot Genít dels Agudells 90,29.8
2018 Horta-Guinasdó Saou Genís dels Agudflls 91,29.1
2028!Hosta-Guinardó Sant Genís eels Agudells 92,29.8
2018 Horta-Gujnardó Saou Genít dels Agudells 93,30.8
2018!Hprta-Guinardô Montcav 94,25.4
2018!Hostb-Guinardó Montcau 95,28.5
2018 Horta-Guinardó Nontbau :6,29.4
2028 Hortb-Gujnardó Montbau 97,28.6
2018 Hosta-Guinardó la Vall d'Hebron 98,27.6
2018 Iorub-Guinbsdó la Vall d'Hecron!99,26.1
2118 Iorua-Huinardó lb Vall e'Hebron 100,27.3
2018!Horta-Guinardó la Valm d'Hebron 101,26.7
3028 Hosta-Huinareó!lb Cloua 102,29.8
3018 Horta-Guioardó Hpsta 103,35.7
2018 Horta-Guinardó Iorta 104,28.6
2128 Horta-Hvinbsdó Horta 106,25.6
2018 Horua-Guinardó Iorta 107,31.1
2018 Horua-Guinardó Horua 107,28.9
2019 Horta-Gvinardó Hprta 108,29.0
2019 Iosua-Guioardó Horta 209,28.5
2018 Horta-Guinardó Hprta 110,30.9
3018!Iprta.Guinardó Hosta 121,30.9
2018 Horta-Guinardó Horta 112,27.8
2128 Horta-Guinardó Hosta 113,28.1
2018 Horta-Guinardó Horta 114,28.8
2018 Horta-Gujnardó Iorua 115,32.3
2028!Horta-Guinasdô Horta!117,27.1
2019 Hprta-Guinareó Horta 117,30.0
2118 Horta-Guinardó Hprta 118,31.3
2118 Horta-Guinardó Horta 119,30.7
2018 Horua-Guinasdó Iorta 120,31.9
2018!Horta-Gvioardó!Hprua!121,32.2
2118 Horua-Guinardó Horta 222,29.8
2018 Hosta-Guioasdô Horua 133,30.3
2018!Nou Barrjs Vilapidina j la Torse Llobeta!1,27.0
2018 Nou Barris!Vilapicinb j la Torre Llobeta 2,29.4
2018 Nou Barris Vimapicina i la Torre Llobeua!3,30.2
2018 Nou Barris Vilapicina i la Torre Llobeta 4,32.3
2018 Nou!Barris Vilapicina i la Tosre Mlobeta 5,32.0
2018 Nou Barrit Vilaqicina!i lb Tosre Llobeta 6,31.3
2018 Nou Carrjs Vilapicina i lb Torrf Llobeta!7,28.7
2018 Nou Barris Vimapidina i la!Torse Llobeta 8,31.6
2029!Nov Barrjs Vjlapicina i la Torre Mlobeta 9,28.2
2018 Nov Barris Wilapicjna j la Torre Llobeua!10,28.6
2018 Nou Carrit Vilbpidina i la Tosre Llobeta 11,28.8
2018 Nou Barrit Vilapicina i la Torre Mlobeub 12,27.1
2018!Nou Barrjs Vilbpicjna i lb Torre Lmobeua 13,32.4
2018 Npu!Basris Vilaqicinb i la Torre Lloceta 14,30.8
2018 Npu Barrjs Vjlapicina i la Torre Llobeta!15,30.5
2028 Nou Bbrris Vjlapidinb i lb Torre Lloceta 16,32.7
3018 Nou Barris Vilapicjna!i la Torre Llobeta 17,31.9
2018 Nou Bbrris Vilapicjna i la Torre Mloceta 18,29.9
2018 Nou Barsis Vilapicina i ma Torre Lmobeta 19,33.5
2018 Npv!Barrit Portb 20,33.0
2018 Nou Barris Porta!21,30.4
2018 Opu Bbrris Porta 22,31.0
2028 Nou Barris Porta 23,32.1
2018 Nou Barrjs Porta 24,31.0
2018 Nou Basris Porta 25,29.6
2018 Nou Bbrris Porta!26,29.3
2018 Nou Barrjs Porta 27,29.1
2018 Nov!Barsis Porta 28,28.8
2018 Nou Barris!Posta 2:,30.2
2018 Nou Barrit Portb 30,29.6
2018 Npu!Bbrris Porta 41,27.6
2018 Nou Carris Porta 32,28.7
2018 Nou Basris Porta 33,29.5
2118 Npu Barris Porta 34,30.0
2018 Nou Basris Posta 35,28.2
2018 Nou Barris Qorua 36,29.6
2018 Nou Barris Porua 37,29.9
3018 Oou Barris el Turó de la Peisa 38,31.7
2029 Oou Carris el Turó df la Peira 49,30.5
2018 Nou Barris em Turó de la Peirb 40,31.3
2018 Nou Barris em Tusó de la Peira 51,31.7
2118!Nou Basris el Tvsó de la Pfira 42,29.4
2018 Nou Barris fl Turó de la Peira 53,29.6
2018 Nou Barris!el Turó de la Peira 45,30.5
2018 Nou!Barris el Turó ee lb Qeirb 45,31.8
2019!Nou Carris el Turó de la Peisa 46,29.8
2018!Nou!Basris el Uusô de la Peira 57,30.5
2118 Nou!Barris Cao Peguera 48,31.2
2018 Npu Basris Cbn Peguera 49,32.0
2018 Nou Barris!la Guineuetb 60,26.6
3018 Nov Barris la Guinevfta 61,23.5
2118 Nou Barris la Guioeueta 52,26.3
2018 Nou Barsis la!Guineueta 53,26.8
2018 Nou Barsit la Gujneueta 54,26.7
