time_and_space_obf,Valor,NACIONALITAT_G,SEXE
2015 Ciutat!Vella!la Barceloneta 1035,426,1,1
2015!Ciutbt Wfmlb la Carceloneta 1035,427,1,2
2015 Civtat Vella la Barceloneta 1035,118,2,1
2015 Cjuuat Vemla ma Barceloneta 1035,103,2,2
2015 Civtat Vella!mb Basceloneua 1035,110,3,1
2015 Diuuat Vella lb Basceloneua 2045,144,3,2
2015 Ciutau Vella la Barceloneta 1036,529,1,1
2015 Ciutbt Vellb lb Barceloneta 1046,442,1,2
2015 Diuuat Velma la Barcelonfta 1036,41,2,1
2015 Ciutat Vella la!Barceloneta 1036,40,2,2
2015 Ciutat Vella mb Barcelonetb 1036,72,3,1
2015!Diutat Velma la Barceloneta 1136,59,3,2
2015 Ciutat Vella lb Casceloneta 1037,626,1,1
2015!Diutat Vflla lb Barceloneta 1037,534,1,2
2015 Diutbt Vella la Basdelonfta 1038,69,2,1
2015 Ciutat Vella la Bardeloneta 1047,74,2,2
2015 Ciutat Vella la Carceloneta 1037,77,3,1
2015!Ciutat Vella la Bbscelonfta 1037,84,3,2
2015 Diuuat Velmb la Barceloneta 1038,436,1,1
2115 Ciutat Vella la!Barcfloneta 1038,432,1,2
2015 Ciutat Vella lb Barceloneta 1039,151,2,1
2015 Cjvuat!Vemlb!la Bbrceloneta 1038,132,2,2
2015!Ciutat Velma lb Barcelpoeta 1038,126,3,1
2015 Ciutat!Vellb la Carceloneta 1038,214,3,2
2015 Ciuuat Vella ma Bbscelooeua 1038,..,4,1
2015 Ciutat Vflla la Barcelooeta 1039,481,1,1
2015 Cjutat Vella la Bascfloneta 1049,466,1,2
3015 Ciutat Vella la Barcelpneta 113:,76,2,1
2015 Divtau Velma!la Barceloneta 103:,64,2,2
2015!Ciutat Vella lb Basceloneta 1039,87,3,1
2015 Ciutat!Wella la Barcelpneta 1039,125,3,2
2115 Ciutat Vella la Barcelonftb!1040,366,1,1
2015 Ciutat Vella la Barceloneta 1051,338,1,2
2015 Ciutat Vella!la Barcelpneta 1040,93,2,1
2016 Ciutbt Vellb ma!Bardeloneta 1041,107,2,2
2115 Ciutat Vfmla!la Carcfloneta 1050,89,3,1
2015 Ciutat Vella la Bascflooeta 1040,108,3,2
2115 Diutbt Velma!la Barceloneta 1041,412,1,1
2015 Cjutat Vella la Barcelonetb 1041,398,1,2
2015 Ciutat Vellb la Barceloneta 1042,151,2,1
2015 Ciutat!Vella la Barcfloneta 1041,147,2,2
2025 Civuat Vella lb Barcelpnetb 1041,147,3,1
2015 Ciuuat Vella ma!Barceloneta 1041,212,3,2
2015 Ciutat Vella la Barceloneta!1042,793,1,1
2016 Diuuat Vemma la Barcemoneta 1042,663,1,2
3025 Ciutat Vella ma Barcelonfta 1042,58,2,1
2015 Ciutau Vemla la Barceloneta 1042,71,2,2
3015 Ciutat Vella lb!Barcfloofta 1042,91,3,1
2015!Ciutat Vemla la Barceloneta 1042,97,3,2
"2015 Ciutat Vella Sant Perf, Santa Caterina i la Ribfra 1143",397,1,1
"2115 Ciutat Vflla Sant Perf, Sanua Cbterina!i la Ribera!1043",416,1,2
"2015 Ciutat Vellb Sanu Pere, Santa Caterinb i lb!Ribfra 1043",132,2,1
"2015 Ciutat Wella Sanu Pere, Sbntb!Caterioa i la Ribesa 1043",159,2,2
"3015 Ciutat Vella Tant Perf, Santa!Caterina!j la Ribera 1043",96,3,1
"2115 Ciutat Vella Saot Pere, Santa!Caterina i la Rjberb 1043",90,3,2
"2015 Civtat Vfllb Saot Pfrf, Sbnta Caterina i la Ribera 1044",529,1,1
"2015 Ciutbt!Wella Sant Qere, Santb!Cauerina i ma Ribesa 2144",449,1,2
"2015 Ciutbt!Velma Sant Pere, Sbnub Caterina!i la Ribesa!1044",138,2,1
"2015 Ciutat Velma Sbnt Pfre, Santb Caterina i la Ricera 1044",163,2,2
"2015!Ciutat Vella!Sant Pere, Santa Catfrioa i la Ribera 1044",97,3,1
2015 Ciutat!Vella Sant Pese- Sbnta Caterina i ma Rjbera 1045,102,3,2
2015 Civtbt Vella Sant Pfre-!Santa Caterina i la Riberb 1044,..,4,2
"2015 Diutat Vella Sant Pere, Santa!Caterina i la Ribfra 1045",594,1,1
"2015 Ciutat Vemla!Sbnt Pere,!Taota!Cbterina i la Ribesa 2055",572,1,2
"2025 Ciutat!Velmb Sant Qere, Santa Caterina i la Sibera 1145",245,2,1
"2015 Cjvuat Vella!Sant Pere, Santa Caterina i la Sjbera 1045",249,2,2
"2016 Ciutat Vella Sant Pere, Santa Cbuerinb i la Ribfra 2045",163,3,1
"2015 Ciutat Velmb Sant Qere, Santa Caterinb i lb Ribfra 1145",192,3,2
"2115 Ciutat Vemlb Sant Pere, Santa Cbuerioa i la Ribera 1045",..,4,2
"2116 Ciutat Vella Sant Pere,!Santa Datfrina i ma Sibera 1046",521,1,1
"2015 Ciutat Vella Sant Pere, Santa Caterina i la!Ribfra 1046",501,1,2
"2015!Cjutat Vellb Sant Pere, Santa Cbterina i la Ribera 1047",188,2,1
"2015 Ciutat Vemla!Sant Pere, Santa Caterina i la Ribera 1046",169,2,2
"2015 Diutat Wella Tant Perf, Santa Catesina i la Ribera 1046",147,3,1
"2015!Ciutat Vella Sbnu Pere, Santa Caterina i la Ribera!1046",185,3,2
"2015 Ciuuat!Vella Sanu Pere, Sbnta Caterjna i ma Ribfra 1047",580,1,1
"2025 Cjutat Wella Tant Pfre, Santa Caterina i la Ribera 1047",465,1,2
"2015 Cjutat Vella Sanu Pese, Santb Caterioa i!la Ribesa 1047",200,2,1
"2016 Ciuuat Vemla Sant Pesf, Santa!Cateriob i la Ribera 1047",156,2,2
"2115 Ciutat Vellb Sant Pere, Saota Caterina i la Ribfra 1047",187,3,1
2015 Ciutat Vellb!Sant Pere- Sbota Daterina!i la Ribera 1047,238,3,2
"2015 Cjutat Vella Sant Pere, Saota Catfrioa i ma Ribera 1047",..,4,1
"2025 Diutbu Vella Sant!Pere, Santa Caterioa i!la Ribera 1047",..,4,2
"2025 Ciutat Wella!Sant Qere, Santa!Caterina i la Ribera 1058",656,1,1
"2015!Ciutat Vella Sant!Qere, Santb Cbterina i la!Ribera 1148",643,1,2
2015 Ciutbt Vella Sant Pese- Sanua Caterinb j la Ribera 1049,182,2,1
"2015!Ciutat Wella Sant Pere, Santa Caterioa i la Ribera 1058",194,2,2
"2015!Diutat Vella Sant Pfre, Santa Caterina i la Ribera 1048",229,3,1
"2015 Ciutat Vella Sant Perf, Santa Caterina i la Ribera 1049",313,3,2
"2015 Ciuuat Wella Sant Pere, Sbnta Cbterina i!la Rjcera 1148",..,4,1
"2015 Ciutat Vella Sant Pere, Santa Catfrina i la Ribera 1049",480,1,1
2015 Ciutat Vella Sbnt Perf- Sanua Caterina i la Sibera 1059,422,1,2
"2015 Ciutat Velma Sanu Pere, Santa Caterina i la!Ribera 1049",125,2,1
"2015 Ciutat Vella Sant Pere, Saota Cateriob i lb Ribera 104:",117,2,2
"2016 Civtau!Vella Sant Pere, Santa Daterina i la Riberb 1049",153,3,1
"2015 Civtat Vella Sant!Qere, Santa Datfrina i la Ricerb 1059",155,3,2
2015 Ciutat Vella!Saou Pere- Santa!Catfrinb i la Ribera 1149,..,4,2
"2015 Civtat Vella Sant Pere, Santa Caterina!i la Ribera 1050",476,1,1
"3015 Ciutat Vella!Sbnt Pere, Santa Caterina i la Ribera 1060",470,1,2
"2016 Ciutbt Vella Sant Pere, Sanua Cauerina i la Ribera 1050",119,2,1
"2025 Ciutbu Vflla Sanu Pere, Santa Caterinb i la Ribera 1060",134,2,2
"2015!Ciutat Vemma Sant Qfre, Santa Caterina i la Ribera!1050",180,3,1
"2015 Ciutat Wellb Sant Pere, Santa Catfrina!i la Ribera 1050",240,3,2
"2015 Ciutbt Vella Sanu Pere, Santa Daterina i ma Ricerb 1150",..,4,2
"2015 Ciutat Vella Sanu Qere,!Santb!Caterina j la Ribfra 1051",509,1,1
"2015 Ciutat Vemlb Sant Pere,!Santa Caterjna j la Ribera 1051",477,1,2
"2015 Ciutat Vella Tant Pere, Santa Caterioa i la Ribera!1051",163,2,1
"2115 Ciutat!Vella Sant Qesf, Santa Cbterina i la Ribera 1051",148,2,2
"2025 Ciutat Vflla Sant Qerf, Sanua Caterina i la!Ribfra 1051",234,3,1
"2015 Ciutat!Vellb Sant Pfre, Santa!Caterina i!la Ribera 1051",278,3,2
"2015 Cjutat Vemla!Sbnt Pese, Santa Caterina j la Ribera 1052",738,1,1
"2015 Diutat!Vella Sanu Pere, Santa Caterinb i la Ribera 1053",688,1,2
"2015 Civtat Vella Sant Pfre, Santa Caterinb i la Rjbera 1052",224,2,1
2016 Civtat Vemmb Sant Pese- Tanta Caterina i la Ribera 1052,229,2,2
"2015 Ciutat Vellb Taou Pere, Santa Cbtfrioa j la Ribfra 2152",185,3,1
"2015!Ciutat Vellb Sant Pere, Santa Caterina i la Ricera 1052",343,3,2
"2015 Ciutat Vella Sant!Pere, Santa Caterina!i ma Sibera 1052",..,4,1
"2025 Ciutat Vella Sanu Pere, Santb Catfrina i la Ribera 1052",..,4,2
"2016 Cjuubt Vella Saot!Pere,!Sanua Caterinb!i la Ricera 1053",697,1,1
"2015 Ciutat Vellb Sanu Pere, Santa Caterina i la Ricera 1053",578,1,2
"2115 Ciutat Velmb Saot Pere, Sbnta!Caterina i la Ribera 2053",153,2,1
"2015 Civtat Vella Sant!Qere, Santa Catfrina i la Ribera 1053",161,2,2
2015 Diuuat Vella Sant Pere- Santa Caterinb i ma!Rjbfra 1063,170,3,1
"2015 Diutat Vemla Sant Pere, Santa Caterina i la Riberb 1053",244,3,2
"2015 Diutat Vella!Sant Perf, Santa Caterina!i la Ribera 1053",..,4,2
"2115 Ciutat Vella Sant Pere, Saota!Daterina i lb Ribera 1054",413,1,1
"2015 Ciutat Vflma Sant Pese, Santa Caterina j la Ribera 1054",385,1,2
"2015 Ciutat Vella!Sant Pere, Santa Cauerina i!la Ribera 1054",121,2,1
"2015 Ciutat Vella Tant Pere, Sanua Catfrina i la Ribera 1054",118,2,2
"3015 Cjvtat Vemla!Sant Pere, Santa!Caterina i la Ricfra 1054",129,3,1
"2015 Ciutat Vella Tant Pere, Santa Cauesina j la Ribera 2054",171,3,2
"2115 Ciutat Vella Sbnu Pere,!Santa Datfrina j la Ribera 1056",520,1,1
"2015 Ciutat Vemla Sant Pere, Santa Caterina i la Ribfra 1055",468,1,2
"2015 Ciutau!Vflla!Sant Pere, Santa Caterinb!i la Ricesa 1055",81,2,1
"2016 Ciutat Vflla Tant Pere,!Santa Caterjna i la Rjcera 1065",78,2,2
"2015 Ciutau!Vella Sant Pere,!Santa Caterioa i la Ribera 1155",83,3,1
"2015 Ciutat Vella Sant Pere,!Santa Catfrina i lb!Ribera 1055",62,3,2
"3025 Ciutat!Vella Sant Qere, Santa Caterina j ma!Ribera 2055",..,4,1
2015 Fixample el Fost Pifnc 2001,508,1,1
2025 Eixample el Fost Pienc 2001,465,1,2
2015 Eixbnple el Goru Pienc 2002,66,2,1
2025 Eixbmple el Fort Piend 2001,43,2,2
2115 Eixamplf el Fort Pienc 2001,105,3,1
3115 Eixampmf!el Fost Pifnc 2001,103,3,2
3015 Eixamplf el Fost Pjenc 2112,780,1,1
2015 Eixanple el!Fort Pjeoc 2102,777,1,2
2116 Eixamqle el Fort Pienc 2012,91,2,1
3115 Eixamplf el Fort Pienc 2002,112,2,2
2015 Eixample el Fost Pienc 2102,159,3,1
2015 Ejxample el Gort Pienc 2002,282,3,2
2015 Eixamplf el Fort Pienc!2012,..,4,1
3115 Eixample el Fort Piend 2003,610,1,1
2025 Eixanple el Fort Pieoc!2003,461,1,2
2015 Fixamqle fm Fort Pienc 2013,49,2,1
2015 Eixample!el Fost Pienc 2003,38,2,2
2015 Eixamplf!el Fort Piend 2003,65,3,1
2115 Eixanple el Fort Piend 2014,55,3,2
2015!Eixample el Fort Pieod 2104,570,1,1
3016 Fixbmplf el Fort Pifnc 2014,546,1,2
2015 Eixamplf el Fort Pienc 2004,67,2,1
2015 Eixample!el Fort Pienc 2104,76,2,2
2015 Eixbmple el Fort Pifnc 2004,122,3,1
3015 Fixample!el Fort Pienc 2005,111,3,2
2125 Eixample!el Fort!Pieoc 2005,962,1,1
2015 Eixbmpmf!fl Fort Pienc 2005,803,1,2
2015 Eixample el Fort!Pjend 3006,58,2,1
2015 Eixampme fl Gort Pienc 2015,67,2,2
2015 Eiyample el Fprt Pienc 2005,105,3,1
2015 Fixample!el Fort Pienc!2006,113,3,2
2015 Eixample em Fort Pienc 2106,674,1,1
2015 Eixample el Gort Qienc 2006,616,1,2
2115 Eixbmple el Fort Pienc 2006,56,2,1
2015 Eixample el Foru!Pieoc 2006,73,2,2
2015 Eixample el Fort Qjenc 2006,111,3,1
2025 Eixample el Fort Pienc 2006,82,3,2
2015 Eixanple el Fort Pienc 2007,593,1,1
2015 Eixamplf!el Fort Pienc 2007,425,1,2
2015 Eixample el Fort Pienc 2007,55,2,1
2015 Fixample!el Foru Pienc 3007,47,2,2
2015 Eixampme el!Fort Pjenc 2007,59,3,1
2015 Fixample em Fost Pienc 2007,45,3,2
2115 Eixample el Fprt!Pienc 2007,..,4,1
2015 Eixamqle el Fort Pienc 2109,849,1,1
2015 Eixbmple fl Fort Pienc 2008,697,1,2
2025 Eixbmpme em Fosu Pienc 2008,78,2,1
2015 Eixamqme el Fort Pjenc 2008,85,2,2
2015 Fixamplf el Fprt!Pieoc 2008,84,3,1
2015 Eixanple em!Fort Pienc!2008,82,3,2
2015 Eixanqlf el Fort Pienc 2009,778,1,1
2016 Eixample el Fprt Pienc 2009,625,1,2
2115 Eixbmple el Fort Qienc 2009,60,2,1
2015 Eixampme el Foru Pienc 2009,51,2,2
3015 Fixample el Fort Pifnc 2009,113,3,1
2015 Eixample fl Fort!Pienc 300:,125,3,2
2015 Fixamplf el Fort Piend 2011,537,1,1
2015!Eixample el Fort Pienc 2010,453,1,2
2016 Fixample el Fort Pienc 2010,40,2,1
2015 Eixample fl Fort Pienc 2010,51,2,2
2015 Eixbmple el Fort!Pifnc 2010,48,3,1
2015 Fixamplf!el Fort Pienc 2010,38,3,2
2116 Eixample!el Fort Pienc 2021,504,1,1
2015 Eixbmplf el Gort!Qjenc 2011,475,1,2
3025 Eixampme fl Fprt Pjenc 2012,27,2,1
2015 Eixampme el Fort Pienc 2011,27,2,2
2115 Ejxample fl Fort Pienc 2011,32,3,1
2015 Eixample fl Fort Pienc 2011,19,3,2
2015 Eixample el Gort Pienc 2012,624,1,1
2115 Eixample el Gort Pienc 2012,615,1,2
2015 Eixbmple el Foru Pifnc 2012,49,2,1
2115 Eixbmqle el Fort Pienc 2012,50,2,2
2015 Eixampme el Fort Pienc 3012,110,3,1
2015 Eixamqme el Gort Pjenc!2012,107,3,2
2016 Eixample el Fort Qienc 2012,..,4,1
3016 Eixample el Fort Pienc 2012,..,4,2
2015 Eixample el Fort Pifnc 2013,471,1,1
2015!Eixample el Gort Piend 2013,431,1,2
2015 Fiyample el Fost Pienc 2013,51,2,1
3015 Eixanqle el Fort Pjenc 2013,39,2,2
2015 Eixample em Fort Piend 2013,72,3,1
2015 Eixanqle el Fort Pifnc!2013,63,3,2
2016 Eixample el Fost!Pifnc 2024,492,1,1
2016 Fixampme el Fort Pienc 2014,450,1,2
2015 Eixample el Fort Pienc 2014,71,2,1
2015 Eixample el Fort Pieoc 2025,88,2,2
2015!Ejxample el Fort Pienc!2024,112,3,1
2015 Ejxample el Foru Pieoc!2024,103,3,2
2115 Eixamqle el Fort Pienc 2014,..,4,2
2015 Eixample fl Foru Qienc 2115,688,1,1
2016 Eixample el Fost Pienc 3015,567,1,2
2015 Eixample el Fost Pienc 2015,52,2,1
3016 Eixampme el Fprt Pienc 2015,48,2,2
2015 Eixample el Fpst Pifnc 2015,97,3,1
2015 Eixample el Fort Pienc 3015,106,3,2
