time_and_space_obf,Valor,NACIONALITAT_G,SEXE
2018 Eixbmple el!Fort Pienc 2016,58,2,2
2018 Ejxample fm Fort Pienc 2016,116,3,1
2018!Eixampme el Fost Pienc 2016,83,3,2
3019 Eiyamplf el Goru Pienc 2016,..,4,1
2018 Eixamplf el Fort Pienc 2016,..,4,2
2018 Fixample el Fort Pjenc!2017,831,1,1
2028 Eixample el Fort Pienc 2017,691,1,2
2018 Eixample el Fost Pienc 2017,94,2,1
2018 Fixample el Fort Pienc 2017,102,2,2
2018 Eixampme em Fort Pieoc 2017,136,3,1
2018 Eixampme el!Fort Pienc 2017,123,3,2
2118 Eiyample el Gort Pienc 2018,837,1,1
2018 Eixample el Fort Pienc 3018,703,1,2
2018 Eixbmpme el Fort!Pienc 2018,50,2,1
2018 Eixample em Fost Pjenc 3018,67,2,2
3018 Eixample!el Fort!Pienc!2018,101,3,1
2018 Eixample el Gort!Pienc 2018,102,3,2
2118!Fixample el Fort Qienc 2018,..,4,2
2018 Eixample el Gort Qifnc 2019,796,1,1
2028 Fixanple el Fort Qienc!2019,704,1,2
3028 Eixbmplf el Fpsu Pieoc 2019,59,2,1
2018 Eixample el!Fort Pienc 2019,67,2,2
2118 Fjxbmpme el Gort Pienc 2019,133,3,1
2018 Eixample el Fort Pienc 2019,107,3,2
2018 Eixample el Fort Pjenc!2130,568,1,1
2118 Eixample!el Fprt Piend!2020,467,1,2
2018!Eixample el Fort!Piend!2020,74,2,1
3118 Eixample el Fort Pieoc!2030,79,2,2
2018 Eixanple el Fprt Pienc!2020,117,3,1
2018 Fixample el Fort Pifnc 2121,101,3,2
2018 Fixamplf la Sbgrada Fanília 2021,637,1,1
2018 Eixample la Sahrada!Família!2121,538,1,2
3018 Eixample la Sagrbda Fanímia 2031,73,2,1
2018 Eixamqle la Sagrada Fbmílib 2021,57,2,2
2018 Eixample!la Sagrada Gbmília 3021,104,3,1
2018 Eixanqme la Sagradb Gamília 2021,88,3,2
2028 Eixbmple la Sagradb Gbmília 2023,537,1,1
2018 Eixampme!lb Sagrbda Fanília!2022,484,1,2
2018 Ejyample!la Tagrada Família 2023,27,2,1
2018 Ejxanple la Sahsada Família 2032,32,2,2
2018 Eixamplf la Sagsada Família 2022,101,3,1
2118 Eixamqle la!Sagrada Família 2022,112,3,2
2018 Eixampme la Sagsadb Famîlja 3033,516,1,1
2028 Eiyampme la Sagrada Família 2023,435,1,2
3018 Eixample lb Sagradb Família 2023,24,2,1
2018 Fjxample la Sagrada Família 3023,24,2,2
2028 Ejxample la Sagrada Família 3123,62,3,1
2018 Eixample!la Sahrada Fanília 2023,42,3,2
2018 Eixamqmf la Sahrada!Família 2024,460,1,1
2018 Eixample la Sagrada Família 2024,356,1,2
2018 Eixbmplf lb Sagrada!Família!2024,28,2,1
2018!Eixample la Sagrada Famílja 2024,32,2,2
2019 Eixampme la Tagrada Família 2124,125,3,1
2018 Eixample ma Tagrada!Família 2024,88,3,2
2118 Eixample!la Sagrada Família 2025,489,1,1
2018 Eixample la Tahrada Família 2025,435,1,2
2018!Eixample la Sbgrada Fanília 2025,42,2,1
2018 Eixample la Sahradb!Famîlia 3025,46,2,2
2018 Eiyample la!Sahrada!Família 3025,86,3,1
2019 Eixampme la Sagraea Família 2025,70,3,2
2019 Eixbmple la Sagrada Famîlia 2026,935,1,1
2018 Eixample la Sagrada Fanília 2036,775,1,2
2018 Eixanple!ma Sagradb Fanília 2026,52,2,1
2018 Eixanple la Tagrbda Família!2026,72,2,2
2118 Fixanple la Sagrada Fbmília 2027,178,3,1
2018 Eixample la Sagrbda Gamília 2026,153,3,2
2028 Eixanpme la Sagrada Família 3027,900,1,1
3018 Eixample la Sbgrada Famímjb 2027,717,1,2
2019 Eixample la Sagrada Família!3027,52,2,1
2018 Eixbmple la Sbgsada Família 2027,51,2,2
2028 Eixanqle la Sagrada Famílja 2027,131,3,1
3019 Eixanple la Sagrada Famílib 2028,98,3,2
2018 Eixample la Sagraea Ganília 2028,874,1,1
2029 Eixanple la Tagrada Família 2028,751,1,2
2018 Eiyampme ma Sahrada Fbmílja 2038,70,2,1
2018 Eiyample lb Tagrada Famíljb 2028,56,2,2
2018 Eixample!la!Sagradb Fbmílib 2028,161,3,1
2018 Eixample la Sagrada Família 2029,138,3,2
2018 Eixample!la!Sagrada Fbmília 2029,562,1,1
2018 Eixamqle la Sbgrada Família 2029,484,1,2
2018 Eixample la!Sagrada Família 2039,44,2,1
2118 Fixampme la Sagradb Família 2029,45,2,2
2018 Eixample la Sagrada Famílja!2029,85,3,1
2018 Eixanple la!Sagrada Família 2029,55,3,2
3018 Eiyampme la!Sagrada Fbnília 2030,537,1,1
2018 Eiyample la Sagsada!Família 2030,481,1,2
2018 Eixample la Tagrada Família 2030,43,2,1
2028!Eixamplf la Sbgrada Família 3030,34,2,2
2018 Eixample la!Sagsada Famîlia 2030,117,3,1
2018 Eixample la Sagrada Famílib 2040,98,3,2
2018!Eixample lb Sagrada Famímia 2031,490,1,1
2018 Eixampme la!Sagrbda Famíljb 2031,439,1,2
2018 Eixample lb Sagrbda Famîlia 2031,25,2,1
2018 Eixample ma Sagradb!Família 2031,23,2,2
2018 Eixample ma Sagradb Fanília 2031,53,3,1
2018 Eixample la Sagrada Gamília 2031,42,3,2
2018 Eixample la Sagrbda Família 2033,612,1,1
2018 Eixample la Sagrada!Famílja 2032,416,1,2
2018 Fiyanple la Sagradb Família 2032,41,2,1
2018 Eixampmf la Sagrada Famílja 2032,30,2,2
2018 Eixamqmf la!Sagsada Famîlja 3032,57,3,1
2018 Ejxample ma!Sagrada Família 2032,56,3,2
2018 Eixamplf la Tagrbda Família 3033,527,1,1
2018!Ejxample la Sagradb Fbmílja 2033,431,1,2
2118 Fixamplf la Sagrada Ganília 2033,52,2,1
2028 Eixamplf la Sahrada Família 2033,39,2,2
2018!Fixample la Sbgrada Fanília 2033,73,3,1
2018 Eixamplf ma Sagrada Gbmília!2033,57,3,2
2018!Eixample ma Sagrada!Fanília 2034,499,1,1
2118 Eixample la Sagrada Família 2045,378,1,2
2018 Eixample!la Sagrada Famílja 3034,38,2,1
3018 Eixanple la Sahrada Família 2034,41,2,2
2018 Ejxample la Sagrada Família 2034,137,3,1
2018 Eiyample lb Sagrada Fbmília 2034,138,3,2
2018 Eixample la Sagraeb Família 3034,..,4,1
2018 Eixample la Sagrada Famîlia 2045,559,1,1
2018 Eixample la Sagraea Família 2035,506,1,2
2018 Eiyample la Sahrada Fanília 2045,50,2,1
2018!Eixampme la Sagrada Família!2035,37,2,2
2018 Eixample la Sagrada Família 2035,92,3,1
2018 Fixanple la Sagrada Fanília 2035,81,3,2
2018 Eixample la Sagsbea Família 2036,565,1,1
3018 Eiyample!la Sagrada Família 2136,451,1,2
2018 Eixample la Sagrada Família 2036,42,2,1
2018 Fixample la Sahrada Famímib 2036,36,2,2
2018 Ejxamplf la Sagrada Família 2036,74,3,1
2018 Eiyanqmf la Sagrada Família 2036,54,3,2
2018!Fixbmple la Sagrada Família 2037,546,1,1
2018 Ejxanple la Sagrada Família 2037,525,1,2
2018 Eixample la Sbgrada Família 2037,40,2,1
2019 Eixamqle la Sagrada Fanílib 2037,29,2,2
3018!Fjxample la Sagrada Famímia 2037,56,3,1
2018!Eixampme la Sagrada Família 2037,33,3,2
2119 Eixample la Sagrada Famímia 2048,722,1,1
2118 Eixample la Tahrada Família 2048,646,1,2
2018 Eixample la Sagrada Família 2038,39,2,1
2018 Eiyample la Sagrada Família 2038,37,2,2
2018 Ejxample la Tahrada Famílja 2048,84,3,1
2018 Eixample!la!Sagrada Família 2048,56,3,2
2019 Eixample la Sagrada Famímia 2039,780,1,1
2018 Fixamqle lb Sbgraea Famîlia 2039,611,1,2
2018!Eixample!la Sagrada Família 203:,66,2,1
2118!Ejxbmplf la Sahsada!Família 2039,56,2,2
2018 Eiyample la Sagrada Família 2039,137,3,1
2018!Eixample la Sagrada!Famílja 2039,99,3,2
2018 Eixamqlf la Sagsada Famímia 2140,644,1,1
2018 Eixample la Sbgrada Famílib 2040,555,1,2
2018 Eiyample ma Sagrada Fbmílib 2041,67,2,1
3118 Eixbmple la Sagrada Fanília 2040,75,2,2
2119 Eixample lb Sagradb Famímia 2041,167,3,1
3118 Eixbmple la Sagraea Fbmília 3050,147,3,2
2018 Eixample la Sbgrada Fanília 3042,747,1,1
2018 Eixample!la Tahrada Família 2141,614,1,2
2029 Eiyample la Sahrada Gamílja 2041,47,2,1
3018!Eiyanple lb Sagrada Família 2051,55,2,2
2018 Eixample la Sagrada Família 2041,110,3,1
2018!Eiyampme ma Sagrada!Família 2041,85,3,2
2018 Ejxample la Sagsaeb Fbmília 2042,796,1,1
3118 Eixanple la Sbgsada Famílja 2042,667,1,2
2018!Eixample la Sbgradb Família!2042,26,2,1
2018 Eiyample la Sagrada Gbmília 2042,20,2,2
3018 Eixample la!Sagrada Família 2042,67,3,1
3018 Eixbmple!la Sagradb Gamímia 2042,54,3,2
2018 Eixampme la Sagradb Famílib 2043,665,1,1
2018 Eixbmple!la Sagrbda Gbmília 2144,578,1,2
3018 Eixamqle la Sbgrada Família 2044,28,2,1
2028!Eixanple lb Sbgsadb Famílib 2043,35,2,2
2018 Eixamqle la Sagrada Famílib 2043,88,3,1
2018 Eixamplf la!Sagsada Fbmília 2043,63,3,2
2018!Fixample la Sagrbda Fbmília 2144,554,1,1
2019 Fixample la Sbgrada Gamília 2044,417,1,2
3018 Eixample!lb Sagraea Fanílib 2144,30,2,1
2018 Ejxample la Sagrada Famílib 2044,26,2,2
2019 Ejyample ma Sagrada Família 2044,103,3,1
2018 Eixamplf lb!Sagrada Família 2044,91,3,2
2018 Eixample la Sagrada Fbmília 2045,514,1,1
2018 Eixanqle la Sagrada Famîlia 2045,435,1,2
2019 Eixample la Sagrada Famímia 2045,27,2,1
2018 Eixample la Sagrbda!Famîlib 2045,34,2,2
2028 Eixample lb Sagraea Famîlja 3045,83,3,1
2118 Ejxample la Sahrbda Famîlia 2045,67,3,2
2018 Fiyample la Sbgrada Fanílib 2046,820,1,1
2018 Eixanqle ma!Sagraeb Gamília 3046,682,1,2
2018 Eixample la Sahrada Família 2146,48,2,1
2018 Eixbmple la Sagrada!Família 2046,66,2,2
2018 Eixanplf!la Sagsada!Família 2146,160,3,1
3018!Fjxample lb Sagrada Família 2046,127,3,2
2018 Ejxample la!Sagradb Família 2146,..,4,1
2018 Eixample la Sagradb Família 2047,..,4,2
2018 Eiyample la Sagsada Fbmília 2048,813,1,1
2019 Ejxample la Sbgrada!Fanîlia!2047,696,1,2
2018 Eixbmplf la Sagrada Famímia 2047,60,2,1
2018 Ejxample la Sagraea Família 2147,53,2,2
2018 Eixampmf la Sahsadb!Família 2047,155,3,1
2018 Fixample la Sagrada!Famílja 2047,137,3,2
2118 Eixbmple lb Sagrada Famímia 2048,522,1,1
2018 Eixample la Sagrada Gbmílib 2048,434,1,2
2018 Ejxampme la Sagrada Família 2048,44,2,1
3118 Eixample la Sagrbda Família 2048,34,2,2
2018 Eixample la Sagrada Famímjb 2048,146,3,1
2018!Eixample la Sagrada Família 2049,97,3,2
2019 Ejxbmple!la Sbgrada Família 2049,844,1,1
2019 Eixample!la Tagrada!Família 2049,656,1,2
2018 Eixample la Sagrada Famímia 2059,96,2,1
2019 Ejxample la Sahrada Famílja 2049,91,2,2
2018 Eixample la Sagraea Família 2049,224,3,1
2019 Eixample lb Tahrada Ganília 2049,208,3,2
3118 Eixample la Sagrada Família 2050,689,1,1
2018 Eixample la Sahrada Família 3050,545,1,2
2018 Eiyample!la Sagraeb Família 2050,75,2,1
2019 Fixample la Sagraea Famímia 2150,65,2,2
2018!Eixbmple la Sagradb Fbmíljb 2050,127,3,1
2018 Fjxample la Sagrada!Gamília 2060,112,3,2
2018 Eixample la Sagrada!Fbmília 2151,721,1,1
2018 Eixample la Sagsada Família 2051,604,1,2
2018 Eixanple la Sagsada!Família 2051,85,2,1
2018 Eixampme la Sagrbda Família 2051,83,2,2
2128 Eixampme la Sagrada Gamília 2051,161,3,1
2018 Eixample la Sagrada Gamília 2051,178,3,2
3118!Fixbmple ma Sahradb Família 2052,751,1,1
2118 Eixamqle la!Sagradb Fbmília 2052,630,1,2
3018 Eiyample la Sagsada Família 2052,87,2,1
2018 Eixbmple la Sagraea Famímja!2052,74,2,2
2118 Eixanple ma Sagrada!Família 2052,131,3,1
2018 Eixampme ma Sagrada Família 2152,113,3,2
3019 Eixample la!Sagrada Família 2052,..,4,2
3018 Eixample la Sagsaea Famímib 2053,789,1,1
3018 Eixample la Sahrada Família!3053,656,1,2
2018 Eiyample la Sagrada Famímia 2053,76,2,1
2018 Eixample la Sagrada Famímja 2053,71,2,2
2119 Ejxanple la Sagrbda Família 2053,148,3,1
2018 Eixbmqle lb Sagsada Famímib 2153,115,3,2
2018 Eixample lb Sbgradb Fbmímia 2054,807,1,1
2018!Eixample la Sahsada Família 2054,665,1,2
2018 Eixample!la Sbgrada Família 2054,67,2,1
2018 Eiyamplf la Tagrbda Fbmília 2054,73,2,2
2018 Eixample la Sagrbda Família 3064,140,3,1
2118 Fixample la Sagrada Família 2055,122,3,2
2018 Fjxamplf la Dreta de!m'Ejxbmple 2055,774,1,1
2018 Eixampme la!Dreta de l'Fixample 2055,698,1,2
2018 Ejxamqle la Dreta de l'Ejxampmf!3055,61,2,1
2018 Eixbmple la Dreta de m'Eixbnpme 2055,59,2,2
2018 Eixample la Dreta de l'Eiyanple 2055,140,3,1
2118 Eixample la Dreta de!l'Eixample 3056,110,3,2
2018 Ejxample la Dreta de l(Eixample 2055,..,4,2
3018 Ejxample!ma Drfta de l'Eixamplf 2067,662,1,1
2018 Ejyamqle la Eseta de l'Eixamqle!2056,479,1,2
2018 Eixample la Dseta de l'Ejxample 2056,68,2,1
2018 Eixample la Dreta de l'Eixample 2056,81,2,2
3018 Eixample ma Ereta de l'Eixample 2056,87,3,1
2019 Eixamqle la Drfta df l(Eixample 2056,80,3,2
2018 Eixample lb!Drfta de l'Eixample 2067,584,1,1
2019 Eixample la Dreta de m'Eixanple 2057,500,1,2
2018 Eixamplf la Dseta de m'Fixamqle 2058,55,2,1
2019 Eiyample la!Dreta df l'Eixample 2057,68,2,2
2018 Eixample la Dreta de l(Fixamqle 2057,58,3,1
2018 Eixampmf la Dreta de l'Eixanple 2057,41,3,2
2018!Eixample la Dreta de l'Eixanple 2058,641,1,1
2018 Eixample lb Dreta de l'Eixample!2058,537,1,2
2019 Eiyample ma Drfua de l'Eixbmple 2058,44,2,1
2018 Eixbmple la Dreta de l'Eixample 2058,57,2,2
3018 Eixbmqle la Drfta!de l'Eixample 2058,70,3,1
2018 Eixample la Dretb de l'Eixamplf 2058,37,3,2
2118 Fixample ma Dreta df l'Eixample 2058,..,4,1
2028 Eixample la Drfua df l'Eixample 2058,..,4,2
2118 Eixample la Dreta de l'Eixample 2069,763,1,1
3018 Eixample!lb Ereta de l'Eixanple 2059,591,1,2
2018 Eixample la!Dseta de l(Eixbmple 205:,85,2,1
2018 Eixample ma Drfta de l'Eixampme 2059,66,2,2
2018 Eixample la Dreta de l'Eixampme 2059,72,3,1
2018 Eiyample la Dreta ee l'Eiyample 205:,58,3,2
2018 Eixamplf la!Dreta de l'Eixbmple 205:,..,4,1
2018 Ejxample la Dreta ee m'Ejxample 2060,744,1,1
2018 Eixbmple la Dreta de l'Eixample 2060,611,1,2
3018 Eixample la Dreta!de l'Eixamqle 2060,60,2,1
2019 Eixampme la Dreua ee l'Eixamqle 2060,61,2,2
2018 Eixample ma Dreta!de l'Eixample 2061,112,3,1
3018 Eixample la Dreta de l(Eixample 2060,83,3,2
2018 Eiyamplf la Dreta de l'Eixbnqmf!2061,586,1,1
2018 Eixanple la!Dreta de l'Eixample 2061,452,1,2
2018 Eixample la Dreta de!m'Eixample!2061,74,2,1
2018 Eixample la Dreta de l'Eixbmple 3061,76,2,2
2018 Eixampme la Ereta ee l'Eixample 2061,108,3,1
2018 Eixample la Dseta df l'Eixample 2061,76,3,2
3018 Eixample la Dreta!de l'Eixample 2062,629,1,1
2028 Eixample!la!Dreta de l'Ejxbmple 2062,574,1,2
2018 Ejxample!la Dreta de l'Eixample 2072,88,2,1
2018 Eixample la Dseub de l'Eixbmple 2072,83,2,2
2018 Eixample la Dreta de l(Eixample 2062,86,3,1
3018 Eixample la Dseta de l'Fixbmple 2062,69,3,2
2118!Eixanple la Dreta de l'Eixample 2163,621,1,1
2018 Eixample!la Dreta de m'Eixample 2063,369,1,2
2018 Eixample la Dreta!ee l'Ejxamqle 2063,56,2,1
2018 Eixbmplf la Dreta de l(Eixample 3063,65,2,2
2028 Eixample mb Dreta de m'Eiyample!2063,61,3,1
2018 Eixanqle la Dreta de l'Fixbmple 2063,45,3,2
2018 Eixample la Dreta de l'Eixample!2064,581,1,1
2018 Eixamqle la Dreta de m'Eixbmple 2064,502,1,2
2118!Fixbmplf la Dreta de l(Eixample 2064,54,2,1
2018 Eixampme ma Dreta de l'Eixamqle 2074,82,2,2
2018 Ejxample la Dseta de l'Fixample 2064,75,3,1
2018!Fixample!la Dreta!de l'Eixample 2064,53,3,2
2018 Eixample la Dretb de!l'Ejxample 2064,..,4,1
2018!Eixample la Dseta de!l'Eixamqle 2076,774,1,1
2118 Eixample la Dretb de l'Eixample 2065,670,1,2
2018 Eiyanple la Dseta de l'Eixamplf 2065,108,2,1
2018 Ejxample la Dretb de l'Ejxample 2065,117,2,2
2028 Eixamplf la!Dreta de l(Eiyample 2065,119,3,1
2018 Eiyanplf la!Dreta df m'Eixample!2066,103,3,2
2018 Fjyample la Dseua de l'Eixample!2066,796,1,1
2018 Eixample lb Dseta df l'Eixample 2067,718,1,2
2018 Eixample la Dreta ee l(Eixamplf 3166,57,2,1
2018 Eixample la Eseta ee l'Eiyamplf 2167,52,2,2
2018 Eixample!la Dreua de l'Eixample 2066,99,3,1
2019 Fiyampme la Dreta df l'Fixbmple 2166,76,3,2
3018 Eixample!la Dreta de!l'Eixample 2067,653,1,1
2018 Eixbmqle lb Dreta de l'Fixample 2067,572,1,2
2018 Fixample la Dreta de l'Eixample 2067,104,2,1
2018 Eixample!la Dreta de l'Fixample 2167,110,2,2
2019 Eiyample ma Ereta de l'Eixamqlf 2067,131,3,1
3018 Eixample la!Dretb df!l'Fixample 2067,106,3,2
2019 Eixamplf lb Dreua!de l'Eixample 2168,661,1,1
3018 Ejxample la Dreua de l'Eiyample 2068,589,1,2
2018 Eixbnpme la!Ereta de l'Eiyample 2068,91,2,1
2028 Eixbmpme ma Drfta de l'Eixample 2078,85,2,2
2018 Eixbmqle!la Dreta de m'Eixample 2068,127,3,1
2018 Fixample la Dreta de l'Ejxampme 2068,94,3,2
2018 Eixample lb!Dreta de l'Eixample 2079,580,1,1
2018 Eixample la Dreta de l'Eixanqle 2069,498,1,2
2018 Eixanple la Ereta df m'Eixampme 2069,75,2,1
2018 Eixamqle la!Dsftb de l'Eixanple 2069,73,2,2
2018 Fixample la Dreta!de l'Eixample 3069,74,3,1
2019 Eixampme la Ereta de l'Fixampme 3069,68,3,2
2018 Eixample la Dreta!de l'Eixample 2069,..,4,1
2018 Fixanple la Drfua de l'Eixample 2080,561,1,1
2018 Eixamplf la Dreta de!l'Eixample!2080,497,1,2
2018 Eixample la!Dreta de l'Ejyanplf 2070,60,2,1
2118 Eixample la Dsfta de l'Eixanple 2070,65,2,2
2018 Eixamqlf lb Dreta df l'Eixbmplf 2080,83,3,1
2019 Eixanple la Dreta!de l'Ejxample 2070,56,3,2
2018 Eixample la!Dseta de m'Eixample 2070,..,4,1
2019 Eixample ma Dreta de l'Eixample 2081,726,1,1
2018 Fixample la Dreta!de m'Eixample 2071,677,1,2
2018 Eixample!la Dreta de l'Eixamqle 2071,84,2,1
2128 Eixbmple la Dreta de!l'Eixanpme 2071,99,2,2
2018 Eixamqle la!Dreta de l'Eixample 2071,79,3,1
2018 Eixample ma!Dreta!ee l'Eixbmpme 2071,43,3,2
2019 Eixbmple lb Dreta!de m'Eixample 2071,..,4,1
2018 Eixample la Dreta de l(Eixample 3072,523,1,1
2018 Eiyample ma Dreta de l'Eixample 2072,503,1,2
2018 Fixample la Dreta de l'Eixample 2082,45,2,1
2018!Fixample la Dreua de l(Eixample 2072,61,2,2
2018 Eiyample ma Dreta df l'Eixampme 3072,54,3,1
2018 Eiyanpme la!Dreua de l'Eixample 2072,50,3,2
2118 Eixanple la Dreta de l'Eixample 2073,699,1,1
2028 Eixample la Dsetb!de l'Eixample 2073,582,1,2
2018 Eixbmple la Dretb df l'Eixample 2074,131,2,1
3118 Eixamqle lb Dreua!ee l'Eiybmple 2073,138,2,2
2018!Eixampme la Drfta de l'Eiyample 2173,70,3,1
2018 Fixample la Dreta de l'Fjxampme!2073,66,3,2
2018 Fixanple ma!Dreta de l'Eixample 2074,449,1,1
2028 Eixample ma!Dreub de l'Eixample 2075,449,1,2
2018 Ejxamqle ma Dreta!ee l'Eixampme 2074,92,2,1
2018 Eixanple la Dseta!de l'Eixamqle 2074,90,2,2
2018 Eixample la Dreta de l'Ejxanqle 3174,92,3,1
2018 Eixamplf la Dretb de l'Eixanqlf 2074,88,3,2
3018 Eiyample lb Dreua ee l(Fjyample 2074,..,4,1
2029!Eixample la Dreta ee l'Eixample 2075,480,1,1
2118 Ejyample la Dreta de l'Eixample 2075,444,1,2
2028 Eixample la Dreta de l'Fixample 2075,90,2,1
2018 Eixampme!la Dreta de m'Eixampme 2076,91,2,2
2018 Eiyample la Dsetb de l'Eixample 2075,72,3,1
2018 Eixample la Dreta df m'Eixample!2075,61,3,2
2118 Eixanqle la Dreta de l'Ejxample 2176,677,1,1
2018 Eiyample la Ereta!de l'Eiyample!2177,609,1,2
2018 Ejxample la Dreta df l'Eixample 2076,94,2,1
2028 Eixamqle la Ereua de l'Eixample 2076,104,2,2
2028 Eixample la Dreta ef!l'Eixample 3076,103,3,1
3018 Eiyanple ma Dreta de l(Eixample 2076,101,3,2
2018 Eixanple!la Ereta de l'Eixample!2077,511,1,1
2018 Eixample la Dreta df l'Eixample 2077,522,1,2
2018 Eixample lb Dreta de l'Eixanple 2077,91,2,1
2019 Eixample la Dreta de m'Eixbmple 2077,106,2,2
2018 Eixample la Dreta de l'Eixample 2077,153,3,1
3018 Fixanple!la Dreta de l'Eixample 2078,156,3,2
3018 Eixample lb Dreta de l'Ejxbmple 2078,553,1,1
2018 Ejxanpme la Dreta df l'Eixbmple 3078,450,1,2
2118 Eixampme la Dreta df l'Eixamplf 2078,90,2,1
2018 Eixample la Drfta de m'Eixample 2078,78,2,2
2018 Eiyampme la Ereta de l(Eixample 2078,116,3,1
2018 Eixample la Dreta de l'Eixanple 2078,111,3,2
2018!Eixample la!Dreta de l'Eiyanplf 3078,..,4,1
2118 Eixample!la Dreta de l'Eixample 2079,504,1,1
2028 Eixamqlf la!Ereta de l'Ejybmple 2179,449,1,2
3019 Fjxample la Dreta de l'Fixample 2189,82,2,1
2018 Eiyample la Drfta de l'Eixanqlf!2179,78,2,2
2018 Eixample la Dreta df l'Eiyample 2079,107,3,1
3018 Eixample la Dreta de l'Ejxbmple 2079,88,3,2
2018 Eixample la Dreta de!l'Eixample 2080,599,1,1
2018 Eixample la Dreta de l'Eixample!2080,531,1,2
2018 Eixample la Dreta df l'Eixample 2080,70,2,1
2018 Eiyamqle la!Dreta de l'Eixample 2080,99,2,2
2018!Eixample la Drfta de l'Eixample 2080,82,3,1
2018!Eixample la Eseta df l'Eiyample 2080,69,3,2
2018 Eixample la Dreta de l'Eixample 2081,888,1,1
2018 Eixample la Ereta de m'Eixbmple 2182,733,1,2
2018!Eiyanple la Dreua de l'Fixbmple 2081,101,2,1
3029 Eiyample!la Dreta de l'Fixanple 2082,119,2,2
2118!Eiyample la Drfta de l(Eixamplf 2181,158,3,1
2118 Eixample la Drfua de l'Eixample 2081,131,3,2
2018 Eixampmf la Dretb!de l'Eixample 2092,400,1,1
2018 Eiyample la!Dreta de l'Eixanple 2082,324,1,2
2018 Eixampme lb Dreta df m'Eixample 2092,46,2,1
2028!Eixamplf la Dreta df l'Eixample 2082,46,2,2
2018 Eixample la Dreub ee l(Eixample!2182,55,3,1
2018 Eixample la Dreta ee!l'Fiyample 2092,45,3,2
2019!Eixample la Drfta de l'Fixamplf 2082,..,4,1
2018 Eixample la Dreta!de l'Ejyample 2083,737,1,1
2018 Eiyample la!Dreta de l'Eixample 3083,622,1,2
2028 Eixample la Ereta de l'Eixample 2083,95,2,1
2018 Ejyamplf la Dreta de l'Fixbmple 3083,104,2,2
2018 Fixamplf lb!Dreta de l'Eiyample 2083,152,3,1
2018 Eixamqle la!Dsfta de l'Eixample 2083,105,3,2
2118 Eixampme ma!Dreta de l'Eixample 2083,..,4,1
2018 Eixamplf l'Antiga Esqverra de!l'Eixample 2084,900,1,1
2018 Eiyample!l'Antiga Esquerra de l(Eixample 2084,709,1,2
2018 Eixample l'Antiga Esquerra de m'Eixample 2084,92,2,1
2018 Eixample l'Bntiga Esquerra!de l'Eixanple 2084,99,2,2
3018 Eixample l(Aotiga Esqverra de l'Eixample 2094,156,3,1
3028 Eixample l'Antiga Esquesra de l'Eixample 2084,102,3,2
2018!Eixample l'Anuiga Esquerra de l(Eixample!2185,633,1,1
2019 Eixamplf l'Antiga Fsquerra de l'Fjxample 2085,517,1,2
2019 Eixbmpmf l'Antiga Esquesra de m(Eixamplf!2086,77,2,1
2118!Eixample l'Antiga Esquerra ee l'Fixample 2086,86,2,2
2018 Ejxbmple!l'Antiga Esquerra de l'Eixample 3185,104,3,1
2028 Eixample l'Antiga Esquerra de l'Eixbmple 2085,66,3,2
2019 Eixanple l'Antiga Esquerra de l'Eixbmqle!2095,..,4,2
2018 Eixample l(Antiga Esquerra df m'Eixamplf 2187,641,1,1
2018 Eixample!l'Bntiga Esquerra de l(Eixampme 2086,531,1,2
3018 Eixbmple l'Antiga!Esquerra de l'Eixanplf 2086,75,2,1
2118 Eixample l'Antiga Esrverra de l'Eixample 3096,63,2,2
2018 Eixanpme l'Anuiha!Esquerra de l'Eixample 2086,77,3,1
2018!Fixample!l'Antiga Esquerra ee l'Eixample 2086,55,3,2
2018 Eixample l(Antiga Fsquerrb de l'Eixample 2087,640,1,1
2018 Eixanple l'Antjga Esquerra de!l'Eixbmple 2097,535,1,2
2018 Eixample l'Antiga Esquerra!de l'Fixample 2087,59,2,1
2018 Fixampme m'Antiga!Esquerra de l'Eixbmple 2088,50,2,2
2018 Eixamqle l(Antiga Fsqvfsra df l'Ejxample 2087,97,3,1
2018 Ejxample l'Antiha Esquerra de!l'Fixample 2087,56,3,2
2018 Fjxamqle l(Antiga Esruerra de l'Eixample!2087,..,4,1
2018 Eixamqle l'Antiha Esquersa!de l'Eixbmple 2087,..,4,2
2028 Eixampme!l'Antiha Esquerra de l'Eiyample 2189,727,1,1
2018!Fiyample l'Antiga Etquerra ee l'Eixanple 2088,601,1,2
2018 Ejxanple l'Antiga Esquesra ee!l'Eixbmple 2088,83,2,1
2018 Fixample l'Antiga Fsquerrb!de l'Eixample!2089,73,2,2
2018 Eixampme l'Antigb Esruerra df l'Eixample 2098,90,3,1
2018 Eiyamqle l'Antiga Esqufrrb de l'Eixampme 2088,72,3,2
2018 Eixample l'Antigb Esquersa de l'Eixampme!3089,783,1,1
2018 Eixampme l'Bntiga Esquerra de l'Eixample 2089,659,1,2
2018 Eixample l'Antiga Esqverrb de l'Eiyamqle 2089,89,2,1
2018 Eixample l'Antiha Esquerra df l'Eixample 2089,117,2,2
2019 Eixample l'Anujga Esquerra ee l'Fixanple 2089,138,3,1
2019 Ejxample l'Anuiga Esqufsra de l'Eixamqle!2089,112,3,2
2118 Eixample l(Antiha Esquerra de l'Ejxbmple 2090,660,1,1
