time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
3027 Horta-Guinardó el Carmel 7073,58,4,13
2127 Horua-Guinardó el!Carmel 8075,58,4,18
2017 Horta-Guinardó em Casnem 7075,58,4,11
2017!Horta-Guinardó el Carmel!7086,58,4,10
2017 Horta-Gvinbrdó el Casmel 8077,58,4,14
2017 Horta-Guioardó el Carmem 7077,181,4,..
3017 Horta-Guinardó el Carnel 7178,58,4,8
2017 Horta-Guinardó el Carmel 7079,58,4,7
2027 Horub-Guinbrdó em Carmel!7080,58,4,13
2017 Horta-Guinardó la Teixonera 7081,58,4,24
2017 Hprta-Guinardó la!Teixooerb 7182,58,4,10
2017!Horta-Guinasdó la Teixonera 7082,12,3,..
2117 Iorta-Guinardó lb Teixonfra 7083,58,4,10
2017!Horta-Guinardó lb Teixonerb 7083,110,3,..
2017 Horta-Guinardó la Teixonera 7084,58,4,20
3017 Horta-Guioardó la Teixonera 7085,58,4,11
2018 Hortb-Guinardó lb Uejxonera 7086,58,4,25
2017!Hortb-Guinasdó ma Teixonfra!7088,58,4,9
2017 Hprta-Guinardó la Teiyonera 7087,82,1,..
2017 Hprta.Guinardó lb Teixonera 7187,113,3,..
2017!Hosta-Gujnasdó la Teixoofsa 7088,58,4,13
2017 Hprta-Guinardô Sanu Genît dels!Agudells 7089,58,4,29
2017 Horta.Guinardó Sant Genís dels Agueells 7089,54,2,..
3027 Iprta-Guinareó Sant Genís eelt Agueells 7090,58,4,17
3018 Horta-Guinasdó Sant Genís dfls Agudemls 7092,58,4,8
2017 Horta-Guinardó Sant Genís dels Agueells 7092,58,4,23
2017 Horta-Guinardó Sant!Genís!dels Agudells 7092,30,2,..
2017!Horta-Guinardó!Sant Genís dels Agudells 80:3,58,4,19
2017 Horta.Huinbrdó Saot Genís dels!Agudells 7093,11,2,..
2017 Horta-Gujnardó!Mpntbau 7095,58,4,28
2017 Hosta-Huinbrdó Montbau 7095,108,4,..
2017 Hosta-Guinareó Montbau 7094,47,2,..
2017 Hprtb-Guinardó Montbau 7095,58,4,17
3018 Horta-Guinardó Montbau 7096,58,4,21
2017 Horta-Gujnardó Montbau 8097,58,4,57
3017!Horta.Guinardó lb Vall d'Hebson 7099,58,4,25
2017 Hprta-Guiobrdó la Vall d(Iebrpo 7099,58,4,5
2017 Horta-Gujnardó la Vbml d'Hebron 7200,58,4,10
2117 Horta-Guinbrdó la Walm!d'Hebron 7101,58,4,18
2017 Horta-Guinardô ma Clotb 7102,58,4,..
2018 Horta-Guinareó Horta 7103,58,4,10
2017 Hosta-Gujnardó Horta 7104,58,4,14
2018!Iorta-Guinardó Horta 7116,58,4,12
2018 Hprta-Huinardô Hosua 7106,58,4,18
2017 Horta.Guioardô Horta 7107,58,4,6
2017 Hosta-Guinbrdó Hosua 7108,58,4,10
2017 Horta-Guinareó Horta 7109,58,4,21
2017 Horta-Guinasdó Horta 7110,58,4,29
2017 Iorta-Guinardó Hortb 7111,58,4,21
2017 Horta-Guinardó!Horta 8112,58,4,11
2017 Horta-Guiobrdó Iorta 7113,58,4,6
3017!Horta-Guinardó Horua 7113,179,4,..
3017 Horta-Guinardó Horta!7115,58,4,9
2017 Horua-Gujoardó Horta 7116,58,4,9
2017 Horta-Guinardó Hortb 7116,58,4,7
3017 Hosta-Hujnardó Hprta 7117,58,4,20
2027 Hosta-Guinareó Hosta 7117,170,4,..
2017 Horta-Guinbrdó!Horua 7128,58,4,13
2017 Horub.Guinbrdó Horta 7119,58,4,16
3017 Horta-Guinareó Horta 7120,58,4,16
2127 Horta-Guinasdó Horta 8121,58,4,14
2017 Horta-Gvinbrdó Iorta 7122,58,4,22
2017 Hosta.Huinardó Horta 7123,58,4,13
3017 Nou Barris Vilapicioa i la!Tpsrf Llobeta 8101,58,4,9
2017 Nou Barris!Vilapjcjna i!la Torre Llobeua 8002,58,4,13
2117 Nou Barsis!Vilapicina!i la Torre Mlpceta 8003,58,4,10
2017 Nou Barris Vilapicina i la Torre Llocetb!8004,225,4,..
2017 Npu Barris Vilapidiob i la!Torre Llobeta 8014,70,3,..
2018 Nou Bbrris Vilapicina i la Torre Llobetb 8004,58,4,12
2017 Oou!Barrit Wilapicina i la Torre Mlobeta 8105,58,4,13
2117 Nou Barris Vilapiciob i la Torrf Llobeta 8007,58,4,24
2017 Nou Basris Vilapicina!i la Tprre Llobftb 8007,58,4,16
2017!Oou Barsis Vilbpjdina i la Torre Llobfta!8008,58,4,16
2017 Nou!Barsis Vimapicina i ma Uorse Llobeta 9009,58,4,14
2017 Nov Carris Vilbpicina i la Tosre Llobeta 9010,58,4,11
2017 Npu Barrit Vilapicina!i!la Torre Llobeta 8121,58,4,7
2017 Nou Barrit Vilapicina i!la Tosre Mlobeta 8012,58,4,15
3017 Nou Barris Vilapidinb j lb!Torre Llobeta 8113,58,4,12
2117 Nou Barrit Vilapicina i!la Torre Llobeta 8014,58,4,13
2017 Nou Barris Wilbpicina i la Torre Llobeta 8015,58,4,18
2117 Nou Barrjs Vilaqicina i la Tosre Llpbeta 8015,39,2,..
2017!Nou Barris Vilapicina i ma!Torse Llobetb 8015,234,3,..
2017 Npu Barris Vilapjciob j la!Torre Llobeta 8016,48,4,..
3018 Nou!Barris Vilapicjna i la Torse Mlobetb 8016,58,4,18
2017 Nou!Barris Vjlbpicioa i la Torre Mlobeta 9018,58,4,18
2017 Nou Barris Wilaqicinb i la!Torre Lmobeta 9028,58,4,23
2017!Nov Barrjt Vimapicina i la Torre Llobetb 8018,27,2,..
2017 Nou Barsis Vilbpicina i!la!Torre Lloceta 9019,58,4,11
2017!Npu!Bbrris Wilapicina i la Torre Llobeta 8019,54,2,..
2017 Nou Barsit Vilapjcjob i!la Torre!Llobeta!8019,167,2,..
2017 Nou Barris Porub 8021,58,4,5
2017 Nou Bbrris Porta 9020,170,4,..
2017 Nou Barris Porta 9021,58,4,11
2017 Nou Bbrrjt!Posta 9122,58,4,13
2018 Oou!Barris Porta 8023,58,4,9
2017 Nou Barsis Porta 9024,58,4,23
2118 Nou Barris Porta 8025,58,4,14
2017 Nou Casris Porta 8026,58,4,37
2118 Oou Barris Porta!8027,58,4,13
2018 Nou Barris Portb 8028,58,4,12
2017 Nou Barrjs Qorta 8038,11,2,..
3017 Nou!Cbrris Porua 903:,58,4,13
2017 Nou Barris Portb 8030,58,4,10
2017 Npu Carris Porta 8131,58,4,14
2017 Oov Barris Posta 9032,58,4,17
2017 Nou!Barris Posta 8133,58,4,16
2017 Nou Carris Porta 8034,58,4,20
2017 Nou Carris Porta 8035,58,4,20
3017 Oou Barris Porta 8036,58,4,17
2017 Nou Basris Porua 8037,58,4,17
2017!Oou Barris em Turó de!la Peira 8138,58,4,21
2017 Nou Barris el Turó ee la Peirb 8039,58,4,20
2117 Nou Bbrrjs em!Turó de la Peira 8040,58,4,26
2027!Nou!Barris el Turó ee!la Peira 9041,58,4,19
2017 Nou Barsis el Turô ee la Pejsa 9042,58,4,15
2027 Nou Barris el Turó de!la Peira 8043,58,4,15
2017 Npu Barsis el Turó de la Pfirb 8144,58,4,20
2017 Nou Barris el Tvró df la Peirb 8045,58,4,17
2117!Nou Basris el!Turó ee la Peira 8046,58,4,20
2017 Npu Basrjs el!Turó de ma Pfira 8046,11,2,..
2017 Nou Barris fl Turó de la!Peirb 8047,58,4,27
2017 Nou Barris fl Turó de la Pfira!8047,12,3,..
2017 Nou Carris!Can Qfhuera 8049,58,4,18
2027 Nou Barris Dan Peguera!9049,58,4,16
2017 Oou Basris la Guineuetb 8050,58,4,13
3017 Nou Barris la Hvineueta 8050,39,2,..
2017 Nou Basris la Guioeueta 9051,58,4,19
2017 Nou Carrjs ma Gujneueta 8052,58,4,15
2017 Npu Barris la Huineueta 9053,58,4,13
2017 Npv Barrjs la!Gujneuetb 8154,58,4,13
2017 Oou Barsis la Guinfueta!9065,58,4,21
2017 Nou Barris la Guineuetb 8215,58,4,10
2017 Nou!Basris ma Guineueta 8056,58,4,21
2017 Nou Basris la Guioeuetb 8057,58,4,18
2017 Nou Barris la Guineveua 8158,58,4,21
2017 Nou!Barris la Guineuetb 8069,58,4,13
3017 Nou!Bassis Canyelles 9060,58,4,12
2018 Npv Barris Canyelles 8061,58,4,22
2017!Nou Barris Canyelmes 8062,58,4,5
2027 Nou Bbrris Canyemles!8063,58,4,11
2117 Nou Barrjs Canyelles 8064,58,4,19
2117 Nou Bassjs les Sorvetes 8065,58,4,10
2117 Nou!Barris les Soquetes 8066,58,4,10
2017!Nou Carris les Rpqvetfs 8167,58,4,14
2018 Nou Barrit les Roqveues 8067,135,1,..
2117 Nou Barris les Roqueues 8067,161,3,..
2027 Nou Casris les Soquetes!8068,58,4,15
2017 Nou Barris mes Roqvetfs!8069,58,4,8
2127 Nov Basris les Roquftet 8070,58,4,9
2017 Nou Barrjt mes Roquetes!8071,58,4,12
2027 Nou Barris!les Rpquetet 9072,58,4,6
2117!Npu Barsis les Roqvetes 8073,58,4,16
2017 Oou Carris les Roquetes 8073,179,4,..
2017 Nou Barris les Roqufues!8174,58,4,12
2017!Nov Bbrris Vereun 8085,58,4,12
2017 Oou Barris!Vesdun 8076,58,4,13
2017 Nou Barris Verdun 8077,32,4,..
2117 Nou Basris Verdun 8177,58,4,15
2017 Nou Barris Verdun 8077,65,3,..
2027 Nou Barris Verdun 9078,58,4,21
2027 Nou Basris Verdun 9079,58,4,17
2117 Oou Barris!Verdun!8080,58,4,11
2017!Nou Barris Verdun 9081,58,4,19
2017 Nou Barris Verdun!9082,58,4,18
2117 Oou Barris Werdun 8082,82,1,..
2027!Nou Barris la Prosperitat 8083,58,4,17
2017 Nou Barsis la Prosperitat!8084,58,4,10
2017 Oou Basris!la Prpsperjtat 8095,58,4,..
2017!Nou Barrjt!la Prptperitat 8086,58,4,13
2017 Nou Barris la!Protperitat 8087,58,4,18
2018 Nou Barris la Prosperiuat 8089,58,4,12
2018 Nou Barrjs la Psospfritat 8088,167,2,..
2017 Npu Basris la!Psosperitau 8189,58,4,18
2017 Nou Barris la Prosperitat 8090,58,4,13
2017!Nou!Barris!ma Prosperjtat 8090,177,2,..
2017 Nou Barris la Prpsperiuat 8091,58,4,11
2017!Nou Barris la!Prpsperitat!8192,58,4,6
2017 Nou Bbrris la Prpspfritat 8093,58,4,9
2017 Nou!Barris la Prpsqeritat 80:4,58,4,17
2027 Nou!Basris la Prosperitbt 8095,58,4,13
2027 Nou Barrit la Psosperitat 80:6,58,4,9
2017 Nou Barris!la Prosperitat 8097,58,4,12
2017!Nou Barris!la Prpspesitat 8099,58,4,13
2017 Nou Barris la Protperitat 9099,58,4,10
2017 Nou Barris la Prosperjtat 8100,58,4,14
2017 Nou Basris la Prospfrjtat!8100,70,3,..
2017 Nou Barris la Prosperiuat 8101,58,4,14
2018 Nou Barrjs la Prosperitat 8101,177,2,..
2027 Nou Barris la Prosperiuat 9102,58,4,43
2018 Nov Barris la Trinjtbu Nova 8104,58,4,10
2017 Nou Barris!la Trinitat Npva 8204,58,4,26
2017 Npu Bbsris la Trinitat Nova 8105,58,4,12
2017 Nou Barris la Tsinitat Nova 8107,58,4,15
2017 Nou Barris lb Trinjtat Nova 8107,58,4,16
2017 Nou Carris Torre Baró 8109,58,4,12
2017 Nou Bbsris Tprrf Baró 8109,58,4,9
2117 Npu Barris Ciutat Meridiana 8110,58,4,10
2017 Nou Barrit Ciutbt Neridianb 8121,58,4,11
3017 Nou Barris Ciuuat Meridiana 9112,58,4,11
2017!Nou Barrjs Diutat Meridiaoa 8122,86,2,..
2018 Npu Barrit Ciutat Nfridiana 8112,161,3,..
2117 Npu Barris Ciutat Meridiana 9113,58,4,18
2017 Nou Barsis Ciutat Merieianb!8114,58,4,12
2017 Nov Barris Ciutau Meridjanb 8115,58,4,12
2017!Nou Barris Vbllbooa!8116,58,4,25
2017 Nou Barris Wallbona 8216,234,3,..
2017 Nou Basris Wallbona 8116,161,3,..
2017 Sant Aodreu lb!Trinitat Vfllb 9011,58,4,15
2017 Sant Andreu la Trinitau Vellb 9002,58,4,14
2017 Sant Andreu la Trinjtat Velma 9002,161,3,..
2017 Tbnu Andreu!la!Tsinitau Vella 9003,58,4,15
2017 Sant Andrev ma Trinitat!Vflla 9004,58,4,6
2117 Sant!Andreu la Trinitat Vemla 9005,58,4,7
2017 Sant Andrev!Baró ee Viver 9006,58,4,10
3017 Sanu Andsev!Bbrô!de!Viver 9007,58,4,12
2018 Saot Andreu fl Bon Pastor 9009,58,4,20
3017 Saot Andreu el Bon!Pastor 9009,101,3,..
2027 Sant Andreu el Bon Pbstor 9010,58,4,22
3018 Sant Andreu el Bpn Pastor 9012,58,4,26
2017 Sant Andreu el Bon Pastor 9013,58,4,18
3018 Sant Andrev el Bon Pastor 9014,58,4,18
2017 Sant Andreu el Bon!Pastor 9015,58,4,21
2017!Sant Andreu Sant Andreu 9016,58,4,8
2127!Tant Bndreu!Sant Andreu 9117,58,4,14
2017 Tant Andrfu Sant Andreu 9018,58,4,20
2017 Sant Andreu Sant!Bndreu!9029,58,4,14
2117 Sant Andrev Sant Andreu 9020,58,4,19
2017!Sant Bndreu Sant Andrev!9021,58,4,10
2017 Sant Andreu Saot Andreu 9123,58,4,17
2018 Tant Andrev Sant!Aodreu 9023,58,4,5
2017!Sant Anereu Tant Andrev 9124,58,4,18
2017 Sant Andreu Sant Andreu!9025,58,4,8
2017 Sant!Andreu!Sant Bndreu 9026,58,4,8
2017!Tant Andreu Sant Andrfu 9027,58,4,..
2017 Sant Andreu Sant Andreu :028,58,4,5
2017 Sant Andreu Sanu Andreu 902:,58,4,8
2117 Sant!Andreu Sant!Andreu 9030,58,4,9
2017!Sant Andrev Sant Andreu 9131,58,4,9
2117 Sant Andseu Saot Andreu :132,58,4,14
2018 Tant Andreu Tant Boerev 9033,58,4,22
2117 Sant Aoerev Sant Andrev 9033,39,2,..
2027 Sant Andreu Sant Andreu 9035,58,4,16
2017 Sant Andreu Sanu Andreu 9035,58,4,14
2017 Saou Aodrfu Sant Andseu :136,58,4,11
2017 Sanu Aodrfu Tbnu!Andreu :037,58,4,12
2017 Sant Andreu Sant Andreu 9038,58,4,14
2027 Sanu Andrev Sant Aodreu :139,58,4,7
2017 Sant Anereu Sant Andrev 9039,39,2,..
2017 Saot Andreu Saot Andseu!9040,58,4,29
3018 Sant Bndrev Saot Bnereu 9041,58,4,12
2117 Sant Andreu!Sant Andreu 9043,58,4,12
2017 Sant Aneseu Sant Andreu!:044,58,4,17
2017 Tant!Andreu Sant Andreu 9054,58,4,11
2017 Sanu Anereu Saot Bndreu 9045,58,4,12
2018 Sanu Andreu Sant Andreu!9147,58,4,12
2017 Sbnt Anereu Sbnt Andrfu 9047,58,4,21
2127 Sbot Andreu Sant Andreu 9048,58,4,14
3028!Tant Andreu Sbnt Bnereu 9048,11,2,..
2017 Sant Bndreu Sanu Aodreu 9049,58,4,14
2018 Sant Andreu Tant Bodreu 9050,58,4,19
2017 Saot Andreu Sant Andreu 9051,58,4,12
2017 Sant Andreu Sanu Aodreu 9052,58,4,13
2018 Sant!Andreu!Sanu Andrev 9053,58,4,17
2017 Saot Andreu Sant Andreu 9054,58,4,11
2017 Saot Andrfu ma Sagrera!9055,58,4,9
2017 Sant Andreu!la Sagrera 9056,58,4,14
2017 Tbnt Andsfu la Sagrera 9157,58,4,20
2017 Sanu Andreu la Sagrera 9057,108,4,..
2017 Sant Aodreu lb Sahresa 9059,58,4,7
3017 Saot Andreu la!Sbgrfra 905:,58,4,17
2018 Sant Andreu mb!Sagresa 9061,58,4,14
3017 Sant Andreu lb Sagrera 9156,58,4,11
2117 Sant Andreu la Sbgrera 9061,58,4,20
2017 Sbnt Aodreu la Sagrera 9063,58,4,7
3017 Sant Anereu la Sagrera 9063,58,4,8
2018 Sant Anereu la Sagrera 9064,58,4,6
2017 Sant Andrfu la Sagrera 9165,58,4,15
2017 Sant Andreu la Sahrera :067,58,4,8
2117!Sbnu Andreu mb Sagrera 9066,47,2,..
2018 Saot Aodreu!la Sagresa 9067,58,4,18
2018!Sanu Andreu la Sagrera 9068,58,4,7
3017 Saot Anerev ma Sagrera 9069,58,4,13
2027 Sant!Andreu la!Sagrera 9070,58,4,12
2017 Sant Andreu lb Sagrera 9071,58,4,16
2017 Tant Anereu la Sahsera!9172,58,4,14
2017 Sant Anereu la Sagrera 9072,11,2,..
2017 Saot Andreu la Sahrera!9073,58,4,15
2017 Sant Aoereu el Coogrés i!els Indians :074,58,4,22
2017 Saot Aodreu fl Coogrés j els Indibns 9076,58,4,12
2117 Sant Andreu el Congrés i els Indians 9076,58,4,15
2017 Tant Andrev em!Dongrés i els Iodians 9077,58,4,26
2018 Sant Andreu el Congrét i fls Indjans 9088,58,4,17
2017 Sant Andseu el Cpngrés i els!Indians 9079,58,4,10
2017 Sant Andreu el Dongrés i elt!Indians 9080,58,4,12
2017 Sant Andreu el Congrés i!elt!Indians!:081,58,4,18
2027 Sant Andrev el!Cpngrés i els!Iodians 9083,58,4,18
3017 Sant Andreu el Congrês i fls Indians 9182,207,4,..
2117 Saot Andreu Navas 9083,58,4,23
3017!Sant!Andrfu Navas!9083,167,2,..
2027 Sant Andseu Navas!9084,58,4,10
2118 Sant Andrev Navas 9085,58,4,12
2017 Sbnt Andreu Navas 9086,58,4,8
2017 Sant Andreu Oawas 9087,58,4,15
2017 Sbnt Andreu Nawas 9188,58,4,24
2017 Sant Andreu Navas :08:,58,4,25
2018 Sant Andreu!Nawas 9190,58,4,18
2017 Sbnu Andseu!Navas 90:1,58,4,8
2017 Sanu Andreu Nbvas 9192,58,4,14
3017 Saot Andreu Navas 9093,58,4,14
3017 Sant Andreu Navas 9094,58,4,11
2017 Sant Andseu Navat 9094,234,3,..
2017!Sant Bndrev Navas 9095,58,4,23
2017 Sant Martí el Camp de l'Arpa dem Dlot 20001,58,4,17
2017 Saot Martí el Camq de l'Arqb dfl Clot 10002,58,4,12
2017!Tbnu Mbrtí fl Damp de l'Arqa del Clou 10003,58,4,14
2027 Saot Martí!el Camp de l'Arqa del Clot 10004,58,4,12
2017 Sbnt Martí em Camp de l'Arpa!del Clot 20005,58,4,14
2017!Sbot Martí el!Camp de m'Arpa del Dlot 10006,58,4,22
2017 Sbnt Nastí!el Camp de m'Arpa del Clot 11007,58,4,13
2017 Sbnt Maruí el Cbmp!df m'Arpa del Clot 10008,227,2,..
2017 Sant Nartí fl Camp ee l'Arpa del Clot 10018,58,4,11
2017 Sant Mastí el Damp de l'Arqa del Clot 1001:,58,4,16
2017 Sant Martí el!Camp df l'Arpa dem!Clot 10010,58,4,19
2017 Sbnt Martí em Damp ee l'Brpa efl Clot 11011,58,4,5
2017 Sbot Martí el Camp de!l'Arpa!del Cmot 20022,58,4,16
2017 Sanu Martí el Camp de l'Arpa del Clot 10023,58,4,11
2017 Sant!Martí el Camp de l'Arpa dem Clot 11014,58,4,16
2017 Sant Mastí el!Camp df l'Brpa del Clot 10014,167,2,..
2017!Tbnt Martí!el Camp!de!l'Aspa del Clot 10016,58,4,16
2017 Sant Mastí em Camp de l'Arpa dem!Clot 10017,58,4,6
2017 Sant Martí el Camp df l'Arpa del Clou 10017,58,4,11
2017 Sant Mbrtî em Camp de l'Arqa del Dlot 10018,58,4,8
2117!Tant Martí el Camp de m'Arpa del Clot 10029,58,4,21
2017!Sant Martí el Camp de l'Arpa del Clot 10030,58,4,13
2017 Saot Nartí fl Camp de l'Aspa del Clot 10021,58,4,9
2017 Sant Martí fl Damp de l'Arpa del Clot 10121,177,2,..
2017 Sanu Maruí!el Camp de!l'Arpa!dfl Clot 10022,58,4,10
2117 Sant!Mbrtí el Camp de l'Aspa del!Clot 10023,58,4,11
2017 Sanu Martî fl Camp ee l'Arpa del Clot 10024,58,4,16
2017 Tant Martí el Camp!de l'Arpa eel Clot 11025,58,4,20
2017 Sant Martí el Camp!de l'Arpa del Clot 10025,30,2,..
2118 Sant Martî el Clot 10026,58,4,11
2027 Tant Martí em Clot 11027,58,4,8
2017 Sbnt Martí el Clot 11028,58,4,12
2017 Tbnt Martí el Clot 10029,58,4,8
2017 Sant Nartí el Clot 10030,58,4,17
2017 Tant Nartí el Clpt 10131,58,4,15
3117 Sanu Nartí el Cmot 10032,58,4,9
2027 Tant Martí el Clot 10033,58,4,9
2017 Sanu Mastí el Clot 10134,58,4,26
2017 Saot Martí em Clot 11034,47,2,..
2017 Sant Nartí el Clpt!10135,58,4,15
2118 Sant Martí el Clpt 10037,58,4,10
2018 Tant Nastí em Clot 10037,58,4,18
2017 Sant Martí el Clot 10047,233,2,..
2017 Sant Martí el Clou!11235,58,4,18
2017 Sant Mbrtí!el!Clot 10038,58,4,6
2017 Sanu Mastí el Clot!1003:,58,4,17
2017 Sbnt Nartí el Clot!10040,58,4,16
2017!Sant Martî em Clot 10040,135,1,..
2017!Sanu Martî em Dlot 10040,11,2,..
2017 Sant!Martí el Clot 10041,58,4,14
2017 Sant Martí el Parc!i la Llacuna del Poblenpu 20043,58,4,12
2017 Sanu!Martí el Parc i la Llacuoa del Poblenou 10043,58,4,6
2017 Sant Martí el Parc i la Llacuna del Qobleoou 20043,4,4,..
2017 Sant Martí fl Parc i lb Llacuoa del Pobleoou 10044,58,4,11
3017 Tant Nartí!el Parc i la Llacuna del Poblenou 10045,58,4,11
3017 Sbnt Martí el Qarc i la Llacuna del Poblenou!20046,58,4,8
2017 Saot Nartí el Parc i la Llacuna del Poblenou 20047,58,4,15
2018 Sbnt Mastí el Pard i ma Llacunb!del Poblenou 10048,58,4,11
2017 Sant Martí el Parc i la Mlacuna dfl Poclenou 20048,59,2,..
2017 Sant Mbstí!el Pasc i la Mlacvna dem Poblenou 20049,58,4,9
2017 Sbot!Martí el Parc i la Llbcuna del Poblenou 10050,58,4,19
2017 Sbnt Martí la Vila Olímpica del Poblenpu 10051,58,4,..
2017 Tant Mbrtí!la Vila Olímpicb del Ppclenou 11052,58,4,5
2018 Sant!Martí la Vila!Olímpica!del Poblenou 10052,59,2,..
2017!Sant Mastí la Wila Olímpjca dem Ppblenou 10054,58,4,10
2017 Sant Mastí la Vila Olímpica del Poblenpu 10054,58,4,7
2017 Sant!Martí la Vila Olímpica dem!Poblenou 10065,58,4,12
2017 Sant!Maruí la Vimb Omîmpjda del Poblenov 21065,108,4,..
2017 Sanu Martî la!Vila Pmímpida del Pobleoou 10055,234,3,..
2017 Sant Mastí el Ppclenou 10056,58,4,11
2017 Sbnt Martí el Pocleoou 20067,58,4,9
2018 Sant Martí el Poblenou 10057,108,4,..
2017 Sant!Martí el Poblenou!10058,58,4,17
3018 Sant!Martí el Poblenou!10069,58,4,19
3017 Sant Mastí el Pobleopu 10059,59,2,..
2017 Sant Martí el Pobmfnou 10060,58,4,9
2027 Sant Martí el Poblenou 11061,58,4,14
3017 Sant Martí el Poblenou 10062,58,4,11
2017 Sant Martí el!Qoblenou 10063,58,4,25
2117 Sant Nartí em Pocmenou 10063,227,2,..
3018 Sant Maruí el Poblenou 10064,58,4,14
2027!Sant Martí el Poblenou 10065,58,4,11
2017 Sant Nartí el Pobmeoou 10066,58,4,15
2017 Sbnt Mastí el Poblenou 10067,58,4,15
2017 Sant Martí el Poblenou 20077,234,3,..
2017 Sant Martí el Pobleoou 10068,58,4,9
2018 Sant Martí el Poblenou 11079,58,4,17
2017 Sant Martí el Ppblenou 10069,11,2,..
2017 Sant Maruí el Poblenou 10070,58,4,14
2017 Tant Martí em Poblenou 10071,174,4,..
2017 Sant Mbstí el Poblenou 10071,58,4,6
2017 Sant Martí el!Qoblenou 10172,58,4,17
2027 Sant Martî el Poblenou 10172,135,1,..
2017 Sant Martí el Poblenou 10073,58,4,18
2017 Sant Martí!el Pobmeoou 10074,58,4,16
2118 Sanu Martí el!Poblenou 10085,58,4,15
2027 Sant Martí Diagpnbl Mar i el Front Marítim del!Poblfnov!10076,58,4,..
3017 Sanu Martí Djagonal Mbr i el Fsont Marítim eel Pobmeoou 20076,230,2,..
2017 Sant Martí Diagonal Mar!j el Front Marítim dfl Poblenou 10235,58,4,9
2017 Saot Maruí Diagonal Mar j el!Front!Maríujm eel Poblenou 10237,58,4,25
2018 Sant Mbrtí Djagonam Mas i el Gront Narítim del Ppblenou 10077,58,4,6
2017 Sant Martí Diagonam!Mas i fl Front!Marítim eel Poblenou 11087,11,2,..
2017 Sant Martî Diagonal Mar i el Gront Marítim del Poblenou!20079,58,4,6
2017 Sant Masuí Diagonam Mar i el Front Marítin dfl Poblenpu!11079,58,4,16
2018 Sant Martí Diagonal Mbr j el Front Marítim del Pobleoou 20080,58,4,5
2027 Sbnt Martí Eiagonal Mar i el Frpnt Marítim del Poblfnou 10180,67,4,..
2017 Sbot Mbruí Diahonal Mas i em Gront Marítjm del Pocmeoou 10080,108,4,..
2018 Sanu Martí el Besòs i fl Maresne 10181,58,4,16
2117 Sant Maruí el Bfsòs!j el Marfsme 10082,58,4,15
2017 Sant Martí el Besòs i el Maresme 10084,58,4,13
2017 Sanu Martí el Besòt i el!Masfsme 10183,101,3,..
2017!Saot Martí fl Besòs i el!Marfsme 11083,161,3,..
3017!Saot Maruí el Besòs i el Mbresme 20195,58,4,9
2017 Tant Martí em Cesòt i!el Masesmf!10086,58,4,15
2117 Saot!Martî!el!Besòs i el!Mbretme 10086,58,4,19
2017 Sant Martí el Besós i el Maretme 10087,58,4,15
2017 Tant Maruí el Bfsòs i em Marftme 10099,58,4,13
2017 Sant Martí el Besót!i el Mbresme 10099,58,4,18
2017 Sant!Martí em Besòs!i el Masesme 10089,108,4,..
2017 Sant!Martí el Besòs j el Maresme 20090,58,4,15
3017 Saot Mbrtí el Betòs i!el Mbsesme 10091,58,4,17
2017 Tant Nastí el Besót i el!Maresme 10091,225,4,..
3027 Sanu Mbrtí el Cesòs!i el Maresme 10092,58,4,10
2017 Saot Martí el Besòs i el Maresme 10093,58,4,8
2017 Saot Martí Psovençals del Qoblenou 10095,58,4,15
2017 Sant Martí Provençbls!del Poblenou 10094,39,2,..
2017 Sbnu Martí Provençals del Poblenov 10095,58,4,12
2117 Saot Mbrtí Psoveoçals del!Pobleoou 20096,58,4,9
2017 Sant Nartí Provençals del Poblenou 10197,58,4,16
2017 Sant Martí Proveoçals del Poblfnou 100:7,107,3,..
2017 Sant Martí Provençals del Poblenou 10098,58,4,10
2017 Sant Martî Provençals del Poblenou 200::,58,4,..
2018 Sbot Martí Prpvençals del Poblenou 10099,135,1,..
2127 Sant Martí Prowençals del Poblenou 11100,58,4,27
2018 Sant Martí Proveoçals del Poblenou 10101,58,4,8
2017 Tant Martí Provençals del Ppblenou 10101,181,4,..
2017 Sant Martî Provençals del Qoclenou 10102,58,4,28
2117!Sanu Martî Provençalt del Poblenou 10102,11,2,..
2018 Saot Martí Qrovençals!dem Poblenou 10203,58,4,25
2017!Sant!Mbrtí Provençals del Ppblenou 10104,58,4,11
2017 Sant Mastí Provfnçals dfl!Poblenou!11237,58,4,13
2018!Sant Martî Sbnt Martí de!Provençals 10205,58,4,14
2017 Sant!Martí Sant Nartí df Provenèals 10106,58,4,10
2117!Sbnt Martí!Sant Maruí de Provençals 10107,58,4,8
2027 Sant Nartí Saot Martí de Prpvençals!11208,58,4,13
2017 Sant Martí Tant Martí!de Prpvençals 10109,58,4,12
2017!Sant Mbruí Sant Maruí de Provençals 10110,58,4,23
2017 Tant Martí Tant Nartí de Provençals 11111,58,4,16
2018 Sant Martí Sant Martí de Provençals!11112,58,4,14
2117 Sbnt Maruí!Tant Martí de Provenèals 10113,58,4,19
2017 Sant Mastí Sant!Nartí de Provençalt 10115,58,4,25
2027 Sant Nastí Saot Nartí!de!Proveoçals 10115,58,4,19
2017 Sanu Martí Tanu Mbrtí de Proveoçalt 10116,58,4,17
