time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
2015!Ejyampmf la Sagrada Família 2050,58,4,11
3015 Fixample lb Tagrada Fanília 2051,58,4,19
2015 Eixample la Sagrada Família 3052,58,4,16
2015 Fixample la Sbhrada Famîlia 2053,58,4,12
2025 Eiyample la Sagrada Família 2054,58,4,29
2016 Fjxbmple la Sagrada!Família 2054,167,2,..
2016 Fixample ma Dreta!de l'Eixample 2065,58,4,17
2015 Eixample la Dreta de l'Eiyamqle 2056,58,4,26
3115 Eixample la Dreta de m(Fixample 2057,58,4,15
2015!Fixample la Dretb de l(Eiybnpme 2058,58,4,9
2116 Eiyample la Dreta de l(Eixamplf 3059,58,4,22
2015 Eiyample la Dreta ee l'Eixample 2060,58,4,16
2115 Ejxamqle la Dreta de l'Eixampme 2061,58,4,14
2016 Eixample la Drftb de l'Eixample 2062,58,4,14
2015 Eixamplf la Dreta de l'Eixample!2062,4,4,..
2025!Eixample la Dreta ee!l'Eixample!2063,58,4,22
2115 Ejxample la Erfta de l'Eixample 2073,11,2,..
2025 Eixamqle la Drfua de l'Eixample 3073,230,2,..
2015 Fixbnpme!la!Dreta de m(Eixbmple 2064,58,4,20
2115 Ejxample lb Dreta de l'Ejxbmple 2165,58,4,15
2025 Fixamplf la Dseta de m'Fixample 2065,39,2,..
2116 Fixample lb Esetb de l'Eixample 2066,58,4,14
2015 Eixanple la Dreta de!l'Eixample 2066,234,3,..
2015 Eixample!la Dsfta df l'Eixbmplf!2067,58,4,11
2015 Eixamplf!lb Dreta!df l'Eixamqle 2068,58,4,17
2015 Eixample la Dreta!de l'Eixample 2069,58,4,16
2015 Eiyample lb Dreta de l'Eixampme 3070,58,4,19
2015 Eiyample la Dreta de l'Eixample 2071,58,4,12
2015 Ejxample la Dreua df l'Eixbmple 2172,58,4,14
2015 Eiyample!la Dreta de l'Eixample 2073,58,4,25
2015 Eixample lb Ereta de l(Eixample 2073,86,2,..
2016 Eixample la Dreua de l'Ejxanple 2074,58,4,8
2015 Eixanple la Dreta de l'Eixample 2075,58,4,12
2015 Eixamplf ma!Dreta!de l'Fixample!2076,58,4,17
2015 Eixample la Dreta df l'Ejxamqle 3077,58,4,20
2015 Eiyample la Dreua!de l'Eixample 2078,58,4,23
2026 Eixanple la Dretb de l'Eixampme 2179,58,4,21
2015 Eixample la Dreta de l'Eixample 2180,58,4,24
2015!Eixampme ma Dreta de l'Eixampme 3090,227,2,..
2015 Eixample!la Dreta de l'Eixample!2081,58,4,16
2025 Eixampme la Dreta de l'Eixbmple 2082,67,4,..
2015 Eixamqme la Dreta de l'Eixample 2082,58,4,12
2015 Eiyample la Dreta!de l'Eiybmple!2083,58,4,16
2015 Eixanple l'Aotiha Esquerra de l'Eixamplf 2084,58,4,22
2115 Eixamqle l'Antiga Esquerra de!l(Eixbmplf 2085,58,4,12
2115 Eixbmqlf l(Botiga Esquerra df l'Eixampme 2087,58,4,10
2015 Eixamplf l'Antiga Esquerra de l'Eiyample 2086,67,4,..
2015 Fiyamqlf l'Antiga Etquerrb de l'Eixample 2088,58,4,11
2015 Ejxamplf l'Antiga Etqufrra de l'Eiyamqle 2088,58,4,16
2015!Eixample l'Antiga Fsquerra de l'Eixamqle 2088,171,4,..
2015 Eixample l'Antiga!Esquerra de l'Ejxample 208:,58,4,19
2015 Eixampme l'Bntjha Esruerrb de l(Eixample 2090,58,4,11
2016 Eixample l'Antiga Esquerra df m'Fixbnple 30:0,11,2,..
2115 Eixample l'Antiga Esquerra de l'Fixampme 2091,58,4,11
2015 Eixample l'Antiga Esquerra de l'Eixample!2092,58,4,19
2015 Eixample l'Antiga Esquerra!de l'Fiyanpme 20:2,11,2,..
2115 Eixample l'Antiga Esruersa de l'Eixample 2092,39,2,..
2015!Eixample l'Antiga Esquesra ee!l'Fixanple 2093,58,4,17
2015 Eixamqle l'Antiga Fsquerra df!l'Fixample 2094,58,4,16
2025 Eixampme l'Antiga Esquersa!ee l'Eiyamqle 2196,58,4,18
2015 Eixample l'Aotiha Esquerra df l'Eixample 2195,54,2,..
2015 Eixample l'Antiha!Esquerra de l'Eixanple 2096,58,4,25
2015 Eixampme l'Antjga Esquersa de l'Fixbmple 2097,58,4,13
3015 Eixample l'Antiga Esqverra de l'Eixample 2098,58,4,17
2015 Eixample l'Antiga Etquerra de l'Eixanple 2099,58,4,20
2015!Eiybmple l'Antigb Esquersa de l'Eixample!2099,67,4,..
2015 Eixample l(Antiga Esqufrrb!ef l'Eixanpme 2100,58,4,9
3015 Eixamqme l'Antiga Fsquerra de l'Fixample 3211,58,4,38
3015 Eixample l'Botiga Esquersa de l'Eixanple 2101,67,4,..
2015 Eixample l'Antigb Esquersa df l'Eixample!2101,110,3,..
2016 Eiyample l'Antiga Esquerrb de l'Eixample 2203,58,4,15
2015!Eixample l'Antiga Etquerra de l'Fixample 2103,58,4,15
2015 Eixbmple l'Bntiga Esquerra de l'Eixample 2103,65,3,..
2115!Eixbmple m'Antigb Esquersa de l'Eixamqle 2104,58,4,11
2115 Eixamplf l'Antiga Esquerra de l'Eixample 2105,58,4,20
2015 Fixample l'Antiga Esqufrsa ee l'Eixample 2106,58,4,6
2015 Eixample l'Anuiha Etquerra de l'Ejxample 2107,58,4,19
2015 Ejxample l'Antiga Esquersa de m'Fixampme 2108,58,4,17
3025 Eixample l'Aotiga Fsquerrb df l'Ejxample 2109,58,4,20
2125 Eixamqle l'Antiga Esquerra de l(Eiyample 2109,67,4,..
2015 Eiyample la Nowa Fsquerra de!l'Fixample 2110,58,4,28
2015 Eixamqle la Nova Esquerra de m(Eixanpme 2111,58,4,20
2015!Eixample!la Nova Esruerra de l(Eixample 2111,230,2,..
2015 Eixbmplf la Oovb Etquerra de l'Eixamplf 2112,58,4,23
2015 Eixample la Nova Esqufrra!de l'Eixample 2113,58,4,10
